"","Sample_ID","Sample_date","Sample_site","Genus_sp_lifestage","Number_counted","Zoop_density","Zoop_biomass","Zoop_len_avg","FTG_Groups_1","biop_152_codes","biop_152_names"
"16","20200604-27-918","2020-06-04","27-918","Argulus_w_eggs",0,0,0,NA,"Argulus_spp_w",9992,"othercyclo"
"17","20200604-27-918","2020-06-04","27-918","Argulus_wo_eggs",0,0,0,NA,"Argulus_spp_wo",9992,"othercyclo"
"18","20200604-27-918","2020-06-04","27-918","Ascomorpha",0,0,0,NA,"Ascomorpha sp.",9995,"rotifer"
"19","20200604-27-918","2020-06-04","27-918","Asplanchna",15,1.4401165264,0.230418644224,NA,"Asplanchna sp.",9995,"rotifer"
"20","20200604-27-918","2020-06-04","27-918","B_coregoni_eggs",0,0,0,NA,"B_coregoni_eggs",993,"Clad eggs"
"21","20200604-27-918","2020-06-04","27-918","B_coregoni_w_eggs",0,0,0,NA,"B_coregoni_w",3,"Eub.Coreg"
"22","20200604-27-918","2020-06-04","27-918","B_coregoni_wo_eggs",2,0.1920155368,0.301925010507999,0.32375,"B_coregoni_wo",3,"Eub.Coreg"
"23","20200604-27-918","2020-06-04","27-918","B_deitersi_eggs",0,0,0,NA,"B_deitersi_eggs",993,"Clad eggs"
"24","20200604-27-918","2020-06-04","27-918","B_deitersi_w_eggs",0,0,0,NA,"B_deitersi_w",990,"unkclad.d"
"25","20200604-27-918","2020-06-04","27-918","B_deitersi_wo_eggs",0,0,0,NA,"B_deitersi_wo",990,"unkclad.d"
"26","20200604-27-918","2020-06-04","27-918","B_longimanus_eggs",0,0,0,NA,"Bythotrephes_eggs",993,"Clad eggs"
"27","20200604-27-918","2020-06-04","27-918","B_longimanus_w_eggs",0,0,0,NA,"Bythotrephes_w",200,"Bythothre"
"28","20200604-27-918","2020-06-04","27-918","B_longimanus_wo_eggs",0,0,0,NA,"Bythotrephes_wo",200,"Bythothre"
"29","20200604-27-918","2020-06-04","27-918","B_longirostris_eggs",3,0,0.146891885703,NA,"B_longirostris_eggs",993,"Clad eggs"
"30","20200604-27-918","2020-06-04","27-918","B_longirostris_w_eggs",1,0.0960077684,0.305270378875872,0.4625,"B_longirostris_w",1,"Bo.Longer"
"31","20200604-27-918","2020-06-04","27-918","B_longirostris_wo_eggs",4,0.3840310737,0.370252995264934,0.26825,"B_longirostris_wo",1,"Bo.Longer"
"32","20200604-27-918","2020-06-04","27-918","Brachionus",15,1.4401165264,0.28802330528,NA,"Brachionus sp.",9995,"rotifer"
"33","20200604-27-918","2020-06-04","27-918","C_pengoi_eggs",0,0,0,NA,"Cercopagis_eggs",993,"Clad eggs"
"34","20200604-27-918","2020-06-04","27-918","C_pengoi_w_eggs",0,0,0,NA,"Cercopagis_w",990,"unkclad.d"
"35","20200604-27-918","2020-06-04","27-918","C_pengoi_wo_eggs",0,0,0,NA,"Cercopagis_wo",990,"unkclad.d"
"36","20200604-27-918","2020-06-04","27-918","C_scutifer_eggs",0,0,0,NA,"C_scutifer_eggs",994,"Cop eggs"
"37","20200604-27-918","2020-06-04","27-918","C_scutifer_w_eggs",0,0,0,NA,"C_scutifer_w",154,"Cy.Scut"
"38","20200604-27-918","2020-06-04","27-918","Cyclopoida_immature",7,0.672054379,0.564701236912986,0.37,"C_scutifer_w",154,"Cy.Scut"
"39","20200604-27-918","2020-06-04","27-918","C_scutifer_wo_eggs",0,0,0,NA,"C_scutifer_wo",154,"Cy.Scut"
"40","20200604-27-918","2020-06-04","27-918","Cyclopoida_immature",7,0.672054379,0.564701236912986,0.37,"C_scutifer_wo",154,"Cy.Scut"
"41","20200604-27-918","2020-06-04","27-918","C_strenuus_eggs",0,0,0,NA,"C_strenuus_eggs",994,"Cop  eggs"
"42","20200604-27-918","2020-06-04","27-918","C_strenuus_w_eggs",0,0,0,NA,"C_strenuus_w",9992,"othercyclo"
"43","20200604-27-918","2020-06-04","27-918","Cyclopoida_immature",7,0.672054379,0.564701236912986,0.37,"C_strenuus_w",9992,"othercyclo"
"44","20200604-27-918","2020-06-04","27-918","C_strenuus_wo_eggs",0,0,0,NA,"C_strenuus_wo",9992,"othercyclo"
"45","20200604-27-918","2020-06-04","27-918","Cyclopoida_immature",7,0.672054379,0.564701236912986,0.37,"C_strenuus_wo",9992,"othercyclo"
"46","20200604-27-918","2020-06-04","27-918","Calanoid_nauplii",81,7.7766292424,1.02238363202367,0.152625,"Calanoid_nauplii",83,"Cal. Naup"
"47","20200604-27-918","2020-06-04","27-918","Calanoida_immature",4,0.3840310737,0.830424943597511,0.5365,"Immature_calanoids",9993,"othercala"
"48","20200604-27-918","2020-06-04","27-918","Camptocercus_eggs",0,0,0,NA,"Camptocercus_spp_eggs",993,"Clad eggs"
"49","20200604-27-918","2020-06-04","27-918","Camptocercus_w_eggs",0,0,0,NA,"Camptocercus_spp_w",9996,"Cam.rect"
"50","20200604-27-918","2020-06-04","27-918","Camptocercus_wo_eggs",0,0,0,NA,"Camptocercus_spp_wo",9996,"Cam.rect"
"51","20200604-27-918","2020-06-04","27-918","Canthocamptus_eggs",0,0,0,NA,"Harpacticoid_eggs",994,"Cop  eggs"
"52","20200604-27-918","2020-06-04","27-918","Canthocamptus_nauplii",0,0,0,NA,"Harpacticoid_nauplii",85,"Harp.Naup"
"53","20200604-27-918","2020-06-04","27-918","Canthocamptus_w_eggs",0,0,0,NA,"Harpacticoids_w",135,"Harpact"
"54","20200604-27-918","2020-06-04","27-918","Canthocamptus_wo_eggs",1,0.0960077684,0.113182902918549,0.444,"Harpacticoids_wo",135,"Harpact"
"55","20200604-27-918","2020-06-04","27-918","Ceriodaphnia_eggs",0,0,0,NA,"Ceriodaphnia_spp_wggs",993,"Clad eggs"
"56","20200604-27-918","2020-06-04","27-918","Ceriodaphnia_w_eggs",0,0,0,NA,"Ceriodaphnia_spp_w",189,"Cerio.sp"
"57","20200604-27-918","2020-06-04","27-918","Ceriodaphnia_wo_eggs",0,0,0,NA,"Ceriodaphnia_spp_wo",189,"Cerio.sp"
"58","20200604-27-918","2020-06-04","27-918","Chydorids_eggs",0,0,0,NA,"Chydorid_eggs",993,"Clad eggs"
"59","20200604-27-918","2020-06-04","27-918","Chydorids_w_eggs",0,0,0,NA,"Chydorids_w",13,"Ch.Sphae"
"60","20200604-27-918","2020-06-04","27-918","Chydorids_wo_eggs",0,0,0,NA,"Chydorids_wo",13,"Ch.Sphae"
"61","20200604-27-918","2020-06-04","27-918","Collotheca",0,0,0,NA,"Collotheca sp.",9995,"rotifer"
"62","20200604-27-918","2020-06-04","27-918","Conochilus",0,0,0,NA,"Conochilus sp.",9995,"rotifer"
"63","20200604-27-918","2020-06-04","27-918","Cyclopoida_immature",7,0.672054379,0.564701236912986,0.37,"Cyclopidae_immature",9992,"othercyclo"
"64","20200604-27-918","2020-06-04","27-918","Cyclopoid_nauplii",15,1.4401165264,0.142433314617214,0.132583333333333,"Cyclopoid_nauplii",82,"Cycl.Naup"
"65","20200604-27-918","2020-06-04","27-918","D_ambigua_eggs",0,0,0,NA,"D_ambigua_eggs",993,"Clad eggs"
"66","20200604-27-918","2020-06-04","27-918","D_ambigua_w_eggs",0,0,0,NA,"D_ambigua_w",113,"Daph.sp"
"67","20200604-27-918","2020-06-04","27-918","D_ambigua_wo_eggs",0,0,0,NA,"D_ambigua_wo",113,"Daph.sp"
"68","20200604-27-918","2020-06-04","27-918","D_laevis_eggs",0,0,0,NA,"D_laevis_eggs",993,"Clad eggs"
"69","20200604-27-918","2020-06-04","27-918","D_laevis_w_eggs",0,0,0,NA,"D_laevis_w",113,"Daph.sp"
"70","20200604-27-918","2020-06-04","27-918","D_laevis_wo_eggs",0,0,0,NA,"D_laevis_wo",113,"Daph.sp"
"71","20200604-27-918","2020-06-04","27-918","D_longiremis_eggs",0,0,0,NA,"D_longiremis_eggs",993,"Clad eggs"
"72","20200604-27-918","2020-06-04","27-918","D_longiremis_w_eggs",0,0,0,NA,"D_longiremis_w",7,"Da.Long"
"73","20200604-27-918","2020-06-04","27-918","D_longiremis_wo_eggs",0,0,0,NA,"D_longiremis_wo",7,"Da.Long"
"74","20200604-27-918","2020-06-04","27-918","D_lumholtzi_eggs",0,0,0,NA,"D_limholtzi_eggs",993,"Clad eggs"
"75","20200604-27-918","2020-06-04","27-918","D_lumholtzi_w_eggs",0,0,0,NA,"D_lumholtzi_w",113,"Daph.sp"
"76","20200604-27-918","2020-06-04","27-918","D_lumholtzi_wo_eggs",0,0,0,NA,"D_lumholtzi_wo",113,"Daph.sp"
"77","20200604-27-918","2020-06-04","27-918","D_mendotae_eggs",0,0,0,NA,"D_mendotae_eggs",993,"Clad eggs"
"78","20200604-27-918","2020-06-04","27-918","D_mendotae_w_eggs",0,0,0,NA,"D_mendotae_w",9,"Da.G.Men"
"79","20200604-27-918","2020-06-04","27-918","D_mendotae_wo_eggs",2,0.1920155368,1.91137768772622,1.15625,"D_mendotae_wo",9,"Da.G.Men"
"80","20200604-27-918","2020-06-04","27-918","D_nanus_eggs",0,0,0,NA,"D_nanus_eggs",994,"Cop  eggs"
"81","20200604-27-918","2020-06-04","27-918","D_nanus_w_eggs",0,0,0,NA,"D_nanus_w",9992,"othercyclo"
"82","20200604-27-918","2020-06-04","27-918","Cyclopoida_immature",7,0.672054379,0.564701236912986,0.37,"D_nanus_w",9992,"othercyclo"
"83","20200604-27-918","2020-06-04","27-918","D_nanus_wo_eggs",0,0,0,NA,"D_nanus_wo",9992,"othercyclo"
"84","20200604-27-918","2020-06-04","27-918","Cyclopoida_immature",7,0.672054379,0.564701236912986,0.37,"D_nanus_wo",9992,"othercyclo"
"85","20200604-27-918","2020-06-04","27-918","D_parvula_eggs",0,0,0,NA,"D_parvula_eggs",993,"Clad eggs"
"86","20200604-27-918","2020-06-04","27-918","D_parvula_w_eggs",0,0,0,NA,"D_parvula_w",125,"Da.Parv"
"87","20200604-27-918","2020-06-04","27-918","D_parvula_wo_eggs",0,0,0,NA,"D_parvula_wo",125,"Da.Parv"
"88","20200604-27-918","2020-06-04","27-918","D_pulex_eggs",0,0,0,NA,"D_pulex_eggs",993,"Clad eggs"
"89","20200604-27-918","2020-06-04","27-918","D_pulex_w_eggs",0,0,0,NA,"D_pulex_w",151,"Da.Pulex"
"90","20200604-27-918","2020-06-04","27-918","D_pulex_wo_eggs",0,0,0,NA,"D_pulex_wo",151,"Da.Pulex"
"91","20200604-27-918","2020-06-04","27-918","D_retrocurva_eggs",51,0,2.88250843687639,NA,"D_retrocurva_eggs",993,"Clad eggs"
"92","20200604-27-918","2020-06-04","27-918","D_retrocurva_w_eggs",11,1.0560854527,13.7812635367172,1.58090909090909,"D_retrocurva_w",5,"Da.Retro"
"93","20200604-27-918","2020-06-04","27-918","D_retrocurva_wo_eggs",164,15.7452740217,30.1258833402609,0.761275,"D_retrocurva_wo",5,"Da.Retro"
"94","20200604-27-918","2020-06-04","27-918","D_rosea_eggs",0,0,0,NA,"D_rosea_eggs",993,"Clad eggs"
"95","20200604-27-918","2020-06-04","27-918","D_rosea_w_eggs",0,0,0,NA,"D_rosea_w",113,"Daph.sp"
"96","20200604-27-918","2020-06-04","27-918","D_rosea_wo_eggs",0,0,0,NA,"D_rosea_wo",113,"Daph.sp"
"97","20200604-27-918","2020-06-04","27-918","D_schodleri_eggs",0,0,0,NA,"D_schodleri_eggs",993,"Clad eggs"
"98","20200604-27-918","2020-06-04","27-918","D_schodleri_w_eggs",0,0,0,NA,"D_schodleri_w",113,"Daph.sp"
"99","20200604-27-918","2020-06-04","27-918","D_schodleri_wo_eggs",0,0,0,NA,"D_schodleri_wo",113,"Daph.sp"
"100","20200604-27-918","2020-06-04","27-918","D_thomasi_eggs",0,0,0,NA,"D_thomasi_eggs",994,"Cop eggs"
"101","20200604-27-918","2020-06-04","27-918","D_thomasi_w_eggs",0,0,0,NA,"D_thomasi_w",31,"Dia.Thoma"
"102","20200604-27-918","2020-06-04","27-918","Cyclopoida_immature",7,0.672054379,0.564701236912986,0.37,"D_thomasi_w",31,"Dia.Thoma"
"103","20200604-27-918","2020-06-04","27-918","D_thomasi_wo_eggs",4,0.3840310736,1.37608522718379,0.78625,"D_thomasi_wo",31,"Dia.Thoma"
"104","20200604-27-918","2020-06-04","27-918","Cyclopoida_immature",7,0.672054379,0.564701236912986,0.37,"D_thomasi_wo",31,"Dia.Thoma"
"105","20200604-27-918","2020-06-04","27-918","Diaphanosoma_eggs",0,0,0,NA,"Diaphanosoma_spp_eggs",993,"Clad eggs"
"106","20200604-27-918","2020-06-04","27-918","Diaphanosoma_w_eggs",0,0,0,NA,"Diaphanosoma_spp_w",187,"Dia.Brach"
"107","20200604-27-918","2020-06-04","27-918","Diaphanosoma_wo_eggs",2,0.1920155368,0.480556878904429,0.50875,"Diaphanosoma_spp_wo",187,"Dia.Brach"
"108","20200604-27-918","2020-06-04","27-918","Calanoida_immature",4,0.3840310737,0.830424943597511,0.5365,"Diaptomidae_immature",300,"Diaptomidae.immature"
"109","20200604-27-918","2020-06-04","27-918","Dreissena_veligers",1594,153.0363828693,71.1619180342245,0.1332,"Dreissena_veligers",234,"Veligers"
"110","20200604-27-918","2020-06-04","27-918","E_agilis_eggs",0,0,0,NA,"E_agilis_eggs",994,"Cop eggs"
"111","20200604-27-918","2020-06-04","27-918","E_agilis_w_eggs",0,0,0,NA,"E_agilis_w",43,"Eucyclops"
"112","20200604-27-918","2020-06-04","27-918","Cyclopoida_immature",7,0.672054379,0.564701236912986,0.37,"E_agilis_w",43,"Eucyclops"
"113","20200604-27-918","2020-06-04","27-918","E_agilis_wo_eggs",0,0,0,NA,"E_agilis_wo",43,"Eucyclops"
"114","20200604-27-918","2020-06-04","27-918","Cyclopoida_immature",7,0.672054379,0.564701236912986,0.37,"E_agilis_wo",43,"Eucyclops"
"115","20200604-27-918","2020-06-04","27-918","E_carolleeae_eggs",16,0,0.1774223560494,NA,"E_affinis_eggs",994,"Cop eggs"
"116","20200604-27-918","2020-06-04","27-918","E_carolleeae_w_eggs",2,0.1920155368,1.44201972056505,1.147,"E_affinis_w",70,"Eury.Affi"
"117","20200604-27-918","2020-06-04","27-918","Calanoida_immature",4,0.3840310737,0.830424943597511,0.5365,"E_affinis_w",70,"Eury.Affi"
"118","20200604-27-918","2020-06-04","27-918","E_carolleeae_wo_eggs",6,0.5760466106,3.08181424195841,0.949666666666667,"E_affinis_wo",70,"Eury.Affi"
"119","20200604-27-918","2020-06-04","27-918","Calanoida_immature",4,0.3840310737,0.830424943597511,0.5365,"E_affinis_wo",70,"Eury.Affi"
"120","20200604-27-918","2020-06-04","27-918","E_elegans_eggs",0,0,0,NA,"E_elegans_eggs",994,"Cop eggs"
"121","20200604-27-918","2020-06-04","27-918","E_elegans_w_eggs",0,0,0,NA,"E_elegans_w",43,"Eucyclops"
"122","20200604-27-918","2020-06-04","27-918","E_elegans_wo_eggs",0,0,0,NA,"E_elegans_wo",43,"Eucyclops"
"123","20200604-27-918","2020-06-04","27-918","E_lacustris",0,0,0,NA,"Epishura_spp",73,"Ep.Lacus"
"124","20200604-27-918","2020-06-04","27-918","Calanoida_immature",4,0.3840310737,0.830424943597511,0.5365,"Epishura_spp",73,"Ep.Lacus"
"125","20200604-27-918","2020-06-04","27-918","E_lamellatus_eggs",0,0,0,NA,"Eurycercus_lamellatus_eggs",993,"Clad eggs"
"126","20200604-27-918","2020-06-04","27-918","E_lamellatus_w_eggs",0,0,0,NA,"Eurycercus_lamellatus_w",25,"Eury.Lam"
"127","20200604-27-918","2020-06-04","27-918","E_lamellatus_wo_eggs",0,0,0,NA,"Eurycercus_lamellatus_wo",25,"Eury.Lam"
"128","20200604-27-918","2020-06-04","27-918","E_phaleratus_eggs",0,0,0,NA,"Ectocyclops_phaleratus_eggs",994,"Cop eggs"
"129","20200604-27-918","2020-06-04","27-918","E_phaleratus_w_eggs",0,0,0,NA,"Ectocyclops_phaleratus_w",9992,"othercyclo"
"130","20200604-27-918","2020-06-04","27-918","E_phaleratus_wo_eggs",0,0,0,NA,"Ectocyclops_phaleratus_wo",9992,"othercyclo"
"131","20200604-27-918","2020-06-04","27-918","E_prionophorus_eggs",0,0,0,NA,"E_prionophorus_eggs",994,"Cop eggs"
"132","20200604-27-918","2020-06-04","27-918","E_prionophorus_w_eggs",0,0,0,NA,"E_prionophorus_w",43,"Eucyclops"
"133","20200604-27-918","2020-06-04","27-918","E_prionophorus_wo_eggs",0,0,0,NA,"E_prionophorus_wo",43,"Eucyclops"
"134","20200604-27-918","2020-06-04","27-918","E_speratus_eggs",0,0,0,NA,"E_speratus_eggs",994,"Cop eggs"
"135","20200604-27-918","2020-06-04","27-918","E_speratus_w_eggs",0,0,0,NA,"E_speratus_w",43,"Eucyclops"
"136","20200604-27-918","2020-06-04","27-918","Cyclopoida_immature",7,0.672054379,0.564701236912986,0.37,"E_speratus_w",43,"Eucyclops"
"137","20200604-27-918","2020-06-04","27-918","E_speratus_wo_eggs",0,0,0,NA,"E_speratus_wo",43,"Eucyclops"
"138","20200604-27-918","2020-06-04","27-918","Cyclopoida_immature",7,0.672054379,0.564701236912986,0.37,"E_speratus_wo",43,"Eucyclops"
"139","20200604-27-918","2020-06-04","27-918","Ergasilus_eggs",0,0,0,NA,"Ergasilus_eggs",994,"Cop eggs"
"140","20200604-27-918","2020-06-04","27-918","Ergasilus_w_eggs",0,0,0,NA,"Ergasilus_wo",9992,"othercyclo"
"141","20200604-27-918","2020-06-04","27-918","Ergasilus_wo_eggs",0,0,0,NA,"Ergasilus_wo",9992,"othercyclo"
"142","20200604-27-918","2020-06-04","27-918","Euchlanis",0,0,0,NA,"Euchlanis sp.",9995,"rotifer"
"143","20200604-27-918","2020-06-04","27-918","Eucyclops_eggs",0,0,0,NA,"Eucyclops_spp_eggs",994,"Cop eggs"
"144","20200604-27-918","2020-06-04","27-918","Eucyclops_w_eggs",0,0,0,NA,"Eucyclops_spp_w",43,"Eucyclops"
"145","20200604-27-918","2020-06-04","27-918","Cyclopoida_immature",7,0.672054379,0.564701236912986,0.37,"Eucyclops_spp_w",43,"Eucyclops"
"146","20200604-27-918","2020-06-04","27-918","Eucyclops_wo_eggs",0,0,0,NA,"Eucyclops_spp_wo",43,"Eucyclops"
"147","20200604-27-918","2020-06-04","27-918","Cyclopoida_immature",7,0.672054379,0.564701236912986,0.37,"Eucyclops_spp_wo",43,"Eucyclops"
"148","20200604-27-918","2020-06-04","27-918","Filinia",0,0,0,NA,"Filinia sp.",9995,"rotifer"
"149","20200604-27-918","2020-06-04","27-918","H_gibberum_eggs",0,0,0,NA,"H_gibberum_eggs",993,"Clad eggs"
"150","20200604-27-918","2020-06-04","27-918","H_gibberum_w_eggs",0,0,0,NA,"H_gibberum_w",17,"Ho.Gibber"
"151","20200604-27-918","2020-06-04","27-918","H_gibberum_wo_eggs",0,0,0,NA,"H_gibberum_wo",17,"Ho.Gibber"
"152","20200604-27-918","2020-06-04","27-918","Harpacticoid_eggs",0,0,0,NA,"Harpacticoid_eggs",994,"Cop eggs"
"153","20200604-27-918","2020-06-04","27-918","Ilyocryptus_eggs",0,0,0,NA,"Ilyocryptus_spp_eggs",993,"Clad eggs"
"154","20200604-27-918","2020-06-04","27-918","Ilyocryptus_w_eggs",0,0,0,NA,"Ilyocryptus_spp_w",150,"Il.Spinif"
"155","20200604-27-918","2020-06-04","27-918","Ilyocryptus_wo_eggs",0,0,0,NA,"Ilyocryptus_spp_wo",150,"Il.Spinif"
"156","20200604-27-918","2020-06-04","27-918","K_latissima_eggs",0,0,0,NA,"Kurzia_latissima_eggs",993,"Clad eggs"
"157","20200604-27-918","2020-06-04","27-918","K_latissima_w_eggs",0,0,0,NA,"Kurzia_latissima_w",990,"unkclad.d"
"158","20200604-27-918","2020-06-04","27-918","K_latissima_wo_eggs",0,0,0,NA,"Kurzia_latissima_wo",990,"unkclad.d"
"159","20200604-27-918","2020-06-04","27-918","K_quadrata",0,0,0,NA,"Keratella_quad",9995,"rotifer"
"160","20200604-27-918","2020-06-04","27-918","Kellicottia",0,0,0,NA,"Kellicottia sp.",9995,"rotifer"
"161","20200604-27-918","2020-06-04","27-918","Keratella",74,7.1045748634,0.781503234974,NA,"Keratella sp.",9995,"rotifer"
"162","20200604-27-918","2020-06-04","27-918","L_ashlandi_eggs",0,0,0,NA,"L_ashlandi_eggs",994,"Cop eggs"
"163","20200604-27-918","2020-06-04","27-918","L_ashlandi_w_eggs",0,0,0,NA,"L_ashlandi_w",67,"Di.Ashlan"
"164","20200604-27-918","2020-06-04","27-918","Calanoida_immature",4,0.3840310737,0.830424943597511,0.5365,"L_ashlandi_w",67,"Di.Ashlan"
"165","20200604-27-918","2020-06-04","27-918","L_ashlandi_wo_eggs",0,0,0,NA,"L_ashlandi_wo",67,"Di.Ashlan"
"166","20200604-27-918","2020-06-04","27-918","Calanoida_immature",4,0.3840310737,0.830424943597511,0.5365,"L_ashlandi_wo",67,"Di.Ashlan"
"167","20200604-27-918","2020-06-04","27-918","L_kindti_eggs",0,0,0,NA,"Leptodora_eggs",993,"Clad eggs"
"168","20200604-27-918","2020-06-04","27-918","L_kindti_w_eggs",0,0,0,NA,"Leptodora_w",19,"Le.Kindti"
"169","20200604-27-918","2020-06-04","27-918","L_kindti_wo_eggs",2,0.1920155368,1.04544551588039,1.9425,"Leptodora_wo",19,"Le.Kindti"
"170","20200604-27-918","2020-06-04","27-918","L_macrurus_adult",0,0,0,NA,"L_macrurus_adult",52,"Li.Macrur"
"171","20200604-27-918","2020-06-04","27-918","Calanoida_immature",4,0.3840310737,0.830424943597511,0.5365,"L_macrurus_adult",52,"Li.Macrur"
"172","20200604-27-918","2020-06-04","27-918","Calanoida_immature",4,0.3840310737,0.830424943597511,0.5365,"L_macrurus_immature",52,"Li.Macrur"
"173","20200604-27-918","2020-06-04","27-918","L_minutus_eggs",0,0,0,NA,"L_minutus_eggs",994,"Cop eggs"
"174","20200604-27-918","2020-06-04","27-918","L_minutus_w_eggs",0,0,0,NA,"L_minutus_w",64,"Di.Minut"
"175","20200604-27-918","2020-06-04","27-918","Calanoida_immature",4,0.3840310737,0.830424943597511,0.5365,"L_minutus_w",64,"Di.Minut"
"176","20200604-27-918","2020-06-04","27-918","L_minutus_wo_eggs",0,0,0,NA,"L_minutus_wo",64,"Di.Minut"
"177","20200604-27-918","2020-06-04","27-918","Calanoida_immature",4,0.3840310737,0.830424943597511,0.5365,"L_minutus_wo",64,"Di.Minut"
"178","20200604-27-918","2020-06-04","27-918","L_patella",0,0,0,NA,"Lepadella patella",9995,"rotifer"
"179","20200604-27-918","2020-06-04","27-918","L_sicilis_eggs",0,0,0,NA,"L_sicilis_eggs",994,"Cop eggs"
"180","20200604-27-918","2020-06-04","27-918","L_sicilis_w_eggs",0,0,0,NA,"L_sicilis_w",55,"Di.Sicil"
"181","20200604-27-918","2020-06-04","27-918","Calanoida_immature",4,0.3840310737,0.830424943597511,0.5365,"L_sicilis_w",55,"Di.Sicil"
"182","20200604-27-918","2020-06-04","27-918","L_sicilis_wo_eggs",0,0,0,NA,"L_sicilis_wo",55,"Di.Sicil"
"183","20200604-27-918","2020-06-04","27-918","Calanoida_immature",4,0.3840310737,0.830424943597511,0.5365,"L_sicilis_wo",55,"Di.Sicil"
"184","20200604-27-918","2020-06-04","27-918","L_siciloides_eggs",0,0,0,NA,"L_siciloides_eggs",994,"Cop eggs"
"185","20200604-27-918","2020-06-04","27-918","L_siciloides_w_eggs",0,0,0,NA,"L_siciloides_w",61,"Di.Sicilo"
"186","20200604-27-918","2020-06-04","27-918","Calanoida_immature",4,0.3840310737,0.830424943597511,0.5365,"L_siciloides_w",61,"Di.Sicilo"
"187","20200604-27-918","2020-06-04","27-918","L_siciloides_wo_eggs",0,0,0,NA,"L_siciloides_wo",61,"Di.Sicilo"
"188","20200604-27-918","2020-06-04","27-918","Calanoida_immature",4,0.3840310737,0.830424943597511,0.5365,"L_siciloides_wo",61,"Di.Sicilo"
"189","20200604-27-918","2020-06-04","27-918","Lecane",0,0,0,NA,"Lecane sp.",9995,"rotifer"
"190","20200604-27-918","2020-06-04","27-918","Leydigia_eggs",0,0,0,NA,"Leydigia_eggs",993,"Clad eggs"
"191","20200604-27-918","2020-06-04","27-918","Leydigia_w_eggs",0,0,0,NA,"Leydigia_spp_w",990,"unkclad.d"
"192","20200604-27-918","2020-06-04","27-918","Leydigia_wo_eggs",0,0,0,NA,"Leydigia_spp_wo",990,"unkclad.d"
"193","20200604-27-918","2020-06-04","27-918","Loose_Bosmina_eggs",0,0,0,NA,"Lse_Bosmina_eggs",993,"Clad eggs"
"194","20200604-27-918","2020-06-04","27-918","Loose_Cladoceran_eggs",1,0,0.09747668725652,NA,"Lse_Cladoceran_eggs",993,"Clad eggs"
"195","20200604-27-918","2020-06-04","27-918","Loose_Copepod_eggs",104,0,1.14725442957138,NA,"Lse_copepod_eggs",994,"Cop eggs"
"196","20200604-27-918","2020-06-04","27-918","Loose_Daphnia_eggs",30,0,1.69559319812449,NA,"Lse_Daphnia_eggs",993,"Clad eggs"
"197","20200604-27-918","2020-06-04","27-918","M_albidus_eggs",0,0,0,NA,"M_albidus_eggs",994,"Cop eggs"
"198","20200604-27-918","2020-06-04","27-918","M_albidus_w_eggs",0,0,0,NA,"M_albidus_w",9992,"othercyclo"
"199","20200604-27-918","2020-06-04","27-918","Cyclopoida_immature",7,0.672054379,0.564701236912986,0.37,"M_albidus_w",9992,"othercyclo"
"200","20200604-27-918","2020-06-04","27-918","M_albidus_wo_eggs",0,0,0,NA,"M_albidus_wo",9992,"othercyclo"
