"","Sample_ID","Sample_date","Sample_site","Genus_sp_lifestage","Life_stage","Number_counted","Zoop_density","Zoop_biomass","na.rm"
"36","20010430-14-972",2001-04-30,"14-972","D_ambigua_wo_eggs","Older",0,0,0,TRUE
"37","20010430-14-972",2001-04-30,"14-972","D_longiremis_w_eggs","Older",0,0,0,TRUE
"38","20010430-14-972",2001-04-30,"14-972","D_longiremis_wo_eggs","Older",0,0,0,TRUE
"39","20010430-14-972",2001-04-30,"14-972","D_lumholtzi_w_eggs","Older",0,0,0,TRUE
"40","20010430-14-972",2001-04-30,"14-972","D_lumholtzi_wo_eggs","Older",0,0,0,TRUE
"41","20010430-14-972",2001-04-30,"14-972","D_mendotae_eggs","Egg",2,0.0660346926464757,0.0388746235609802,TRUE
"42","20010430-14-972",2001-04-30,"14-972","D_mendotae_w_eggs","Older",2,0.0660346926464757,0.608497284530244,TRUE
"43","20010430-14-972",2001-04-30,"14-972","D_mendotae_wo_eggs","Older",1,0.0330173463232378,0.216414819556133,TRUE
"44","20010430-14-972",2001-04-30,"14-972","D_parvula_w_eggs","Older",0,0,0,TRUE
"45","20010430-14-972",2001-04-30,"14-972","D_parvula_wo_eggs","Older",0,0,0,TRUE
"46","20010430-14-972",2001-04-30,"14-972","D_pulex_w_eggs","Older",0,0,0,TRUE
"47","20010430-14-972",2001-04-30,"14-972","D_pulex_wo_eggs","Older",0,0,0,TRUE
"48","20010430-14-972",2001-04-30,"14-972","D_retrocurva_eggs","Egg",0,0,0,TRUE
"49","20010430-14-972",2001-04-30,"14-972","D_retrocurva_w_eggs","Older",0,0,0,TRUE
"50","20010430-14-972",2001-04-30,"14-972","D_retrocurva_wo_eggs","Older",15,0.495260194848568,0.869315694233392,TRUE
"51","20010430-14-972",2001-04-30,"14-972","D_schodleri_w_eggs","Older",0,0,0,TRUE
"52","20010430-14-972",2001-04-30,"14-972","D_schodleri_wo_eggs","Older",0,0,0,TRUE
"53","20010430-14-972",2001-04-30,"14-972","D_thomasi_eggs","Egg",9,0.297156116909141,0.0499222276407356,TRUE
"54","20010430-14-972",2001-04-30,"14-972","D_thomasi_w_eggs","Older",1,0.0330173463232378,0.102940661192587,TRUE
"55","20010430-14-972",2001-04-30,"14-972","D_thomasi_w_eggs","Younger",1,0.0330173463232378,NA,TRUE
"56","20010430-14-972",2001-04-30,"14-972","D_thomasi_wo_eggs","Older",36,1.18862446763656,4.11169010935896,TRUE
"57","20010430-14-972",2001-04-30,"14-972","D_thomasi_wo_eggs","Younger",71,2.34423158894989,2.75457887763406,TRUE
"58","20010430-14-972",2001-04-30,"14-972","Diaphanosoma_eggs","Egg",0,0,0,TRUE
"59","20010430-14-972",2001-04-30,"14-972","Diaphanosoma_w_eggs","Older",0,0,0,TRUE
"60","20010430-14-972",2001-04-30,"14-972","Diaphanosoma_wo_eggs","Older",0,0,0,TRUE
"61","20010430-14-972",2001-04-30,"14-972","Diaptomidae_immature","Younger",0,0,0,TRUE
"62","20010430-14-972",2001-04-30,"14-972","Dreissena_veligers","Veliger",0,0,0,TRUE
"63","20010430-14-972",2001-04-30,"14-972","E_carolleeae_eggs","Egg",0,0,0,TRUE
"64","20010430-14-972",2001-04-30,"14-972","E_carolleeae_w_eggs","Older",0,0,0,TRUE
"65","20010430-14-972",2001-04-30,"14-972","E_carolleeae_w_eggs","Younger",0,0,0,TRUE
"66","20010430-14-972",2001-04-30,"14-972","E_carolleeae_wo_eggs","Older",0,0,0,TRUE
"67","20010430-14-972",2001-04-30,"14-972","E_carolleeae_wo_eggs","Younger",0,0,0,TRUE
"68","20010430-14-972",2001-04-30,"14-972","E_lacustris","Older",0,0,0,TRUE
"69","20010430-14-972",2001-04-30,"14-972","E_lacustris","Younger",0,0,0,TRUE
"70","20010430-14-972",2001-04-30,"14-972","Ergasilus_w_eggs","Older",0,0,0,TRUE
"71","20010430-14-972",2001-04-30,"14-972","Ergasilus_wo_eggs","Older",0,0,0,TRUE
"72","20010430-14-972",2001-04-30,"14-972","Eucyclops_w_eggs","Older",0,0,0,TRUE
"73","20010430-14-972",2001-04-30,"14-972","Eucyclops_w_eggs","Younger",0,0,0,TRUE
"74","20010430-14-972",2001-04-30,"14-972","Eucyclops_wo_eggs","Older",0,0,0,TRUE
"75","20010430-14-972",2001-04-30,"14-972","Eucyclops_wo_eggs","Younger",0,0,0,TRUE
"76","20010430-14-972",2001-04-30,"14-972","H_gibberum_w_eggs","Older",0,0,0,TRUE
"77","20010430-14-972",2001-04-30,"14-972","H_gibberum_wo_eggs","Older",0,0,0,TRUE
"78","20010430-14-972",2001-04-30,"14-972","Kellicottia","Older",3,0.0990520389697135,0.00614122641612224,TRUE
"79","20010430-14-972",2001-04-30,"14-972","Keratella","Older",92,3.03759586173788,0.334135544791167,TRUE
"80","20010430-14-972",2001-04-30,"14-972","L_ashlandi_eggs","Egg",12,0.396208155878854,0.0457620420040076,TRUE
"81","20010430-14-972",2001-04-30,"14-972","L_ashlandi_w_eggs","Older",1,0.0330173463232378,0.111514864876745,TRUE
"82","20010430-14-972",2001-04-30,"14-972","L_ashlandi_w_eggs","Younger",1,0.0330173463232378,NA,TRUE
"83","20010430-14-972",2001-04-30,"14-972","L_ashlandi_wo_eggs","Older",24,0.792416311757708,3.84261364835936,TRUE
"84","20010430-14-972",2001-04-30,"14-972","L_ashlandi_wo_eggs","Younger",3,0.0990520389697135,0.257691576447001,TRUE
"85","20010430-14-972",2001-04-30,"14-972","L_kindti_eggs","Egg",0,0,0,TRUE
"86","20010430-14-972",2001-04-30,"14-972","L_kindti_w_eggs","Older",0,0,0,TRUE
"87","20010430-14-972",2001-04-30,"14-972","L_kindti_wo_eggs","Older",0,0,0,TRUE
"88","20010430-14-972",2001-04-30,"14-972","L_macrurus_adult","Older",0,0,0,TRUE
"89","20010430-14-972",2001-04-30,"14-972","L_macrurus_adult","Younger",0,0,0,TRUE
"90","20010430-14-972",2001-04-30,"14-972","L_macrurus_immature","Younger",0,0,0,TRUE
"91","20010430-14-972",2001-04-30,"14-972","L_minutus_eggs","Egg",9,0.297156116909141,0.0343215315030057,TRUE
"92","20010430-14-972",2001-04-30,"14-972","L_minutus_w_eggs","Older",1,0.0330173463232378,0.106512264595955,TRUE
"93","20010430-14-972",2001-04-30,"14-972","L_minutus_w_eggs","Younger",1,0.0330173463232378,NA,TRUE
"94","20010430-14-972",2001-04-30,"14-972","L_minutus_wo_eggs","Older",14,0.46224284852533,1.65940275943043,TRUE
"95","20010430-14-972",2001-04-30,"14-972","L_minutus_wo_eggs","Younger",5,0.165086731616189,0.137366543877457,TRUE
"96","20010430-14-972",2001-04-30,"14-972","L_sicilis_eggs","Egg",23,0.75939896543447,0.0877105805076813,TRUE
"97","20010430-14-972",2001-04-30,"14-972","L_sicilis_w_eggs","Older",3,0.0990520389697135,0.893685693310137,TRUE
"98","20010430-14-972",2001-04-30,"14-972","L_sicilis_w_eggs","Younger",3,0.0990520389697135,0.459135940496465,TRUE
"99","20010430-14-972",2001-04-30,"14-972","L_sicilis_wo_eggs","Older",13,0.429225502202092,4.10466445764035,TRUE
"100","20010430-14-972",2001-04-30,"14-972","L_sicilis_wo_eggs","Younger",14,0.46224284852533,1.88926637107207,TRUE
"101","20010430-14-972",2001-04-30,"14-972","L_siciloides_eggs","Egg",0,0,0,TRUE
"102","20010430-14-972",2001-04-30,"14-972","L_siciloides_w_eggs","Older",0,0,0,TRUE
"103","20010430-14-972",2001-04-30,"14-972","L_siciloides_w_eggs","Younger",0,0,0,TRUE
"104","20010430-14-972",2001-04-30,"14-972","L_siciloides_wo_eggs","Older",0,0,0,TRUE
"105","20010430-14-972",2001-04-30,"14-972","L_siciloides_wo_eggs","Younger",0,0,0,TRUE
"106","20010430-14-972",2001-04-30,"14-972","Loose_Bosmina_eggs","Egg",0,0,0,TRUE
"107","20010430-14-972",2001-04-30,"14-972","Loose_Cladoceran_eggs","Egg",0,0,0,TRUE
"108","20010430-14-972",2001-04-30,"14-972","Loose_Copepod_eggs","Egg",223,7.36286823008204,0.845993559636426,TRUE
"109","20010430-14-972",2001-04-30,"14-972","Loose_Daphnia_eggs","Egg",0,0,0,TRUE
"110","20010430-14-972",2001-04-30,"14-972","M_edax_eggs","Egg",0,0,0,TRUE
"111","20010430-14-972",2001-04-30,"14-972","M_edax_w_eggs","Older",0,0,0,TRUE
"112","20010430-14-972",2001-04-30,"14-972","M_edax_w_eggs","Younger",0,0,0,TRUE
"113","20010430-14-972",2001-04-30,"14-972","M_edax_wo_eggs","Older",1,0.0330173463232378,0.0561158334361503,TRUE
"114","20010430-14-972",2001-04-30,"14-972","M_edax_wo_eggs","Younger",0,0,0,TRUE
"115","20010430-14-972",2001-04-30,"14-972","Moina_w_eggs","Older",0,0,0,TRUE
"116","20010430-14-972",2001-04-30,"14-972","Moina_wo_eggs","Older",0,0,0,TRUE
"117","20010430-14-972",2001-04-30,"14-972","O_birgei_w_eggs","Older",0,0,0,TRUE
"118","20010430-14-972",2001-04-30,"14-972","O_birgei_wo_eggs","Older",0,0,0,TRUE
"119","20010430-14-972",2001-04-30,"14-972","P_poppei_w_eggs","Older",0,0,0,TRUE
"120","20010430-14-972",2001-04-30,"14-972","P_poppei_wo_eggs","Older",0,0,0,TRUE
"121","20010430-14-972",2001-04-30,"14-972","Ploesoma_sp.","Older",13,0.429225502202092,0.26268600734768,TRUE
"122","20010430-14-972",2001-04-30,"14-972","Polyarthra","Older",28,0.92448569705066,0.684119415817488,TRUE
"123","20010430-14-972",2001-04-30,"14-972","Rare_Cladoceran_eggs","Egg",0,0,0,TRUE
"124","20010430-14-972",2001-04-30,"14-972","Rare_Copepod_eggs","Egg",0,0,0,TRUE
"125","20010430-14-972",2001-04-30,"14-972","S_oregonensis_eggs","Egg",0,0,0,TRUE
"126","20010430-14-972",2001-04-30,"14-972","S_oregonensis_w_eggs","Older",0,0,0,TRUE
"127","20010430-14-972",2001-04-30,"14-972","S_oregonensis_w_eggs","Younger",0,0,0,TRUE
"128","20010430-14-972",2001-04-30,"14-972","S_oregonensis_wo_eggs","Older",23,0.75939896543447,4.91294135922718,TRUE
"129","20010430-14-972",2001-04-30,"14-972","S_oregonensis_wo_eggs","Younger",6,0.198104077939427,0.6306247573342,TRUE
"130","20010430-14-972",2001-04-30,"14-972","S_pallidus_w_eggs","Older",0,0,0,TRUE
"131","20010430-14-972",2001-04-30,"14-972","S_pallidus_wo_eggs","Older",0,0,0,TRUE
"132","20010430-14-972",2001-04-30,"14-972","S_reighardi_w_eggs","Older",0,0,0,TRUE
"133","20010430-14-972",2001-04-30,"14-972","S_reighardi_wo_eggs","Older",0,0,0,TRUE
"134","20010430-14-972",2001-04-30,"14-972","Scapholeberis_w_eggs","Older",0,0,0,TRUE
"135","20010430-14-972",2001-04-30,"14-972","Scapholeberis_wo_eggs","Older",0,0,0,TRUE
"136","20010430-14-972",2001-04-30,"14-972","Simocephalus_w_eggs","Older",0,0,0,TRUE
"137","20010430-14-972",2001-04-30,"14-972","Simocephalus_wo_eggs","Older",0,0,0,TRUE
"138","20010430-14-972",2001-04-30,"14-972","T_prasinus_mexicanus_w_eggs","Older",0,0,0,TRUE
"139","20010430-14-972",2001-04-30,"14-972","T_prasinus_mexicanus_w_eggs","Younger",0,0,0,TRUE
"140","20010430-14-972",2001-04-30,"14-972","T_prasinus_mexicanus_wo_eggs","Older",0,0,0,TRUE
"141","20010430-14-972",2001-04-30,"14-972","T_prasinus_mexicanus_wo_eggs","Younger",0,0,0,TRUE
"142","20010430-14-972",2001-04-30,"14-972","Temoridae_immature","Younger",0,0,0,TRUE
"143","20010430-14-972",2001-04-30,"14-972","Unidentified_Cladoceran","Older",0,0,0,TRUE
"144","20010430-14-972",2001-04-30,"14-972","Unidentified_Daphnia","Older",0,0,0,TRUE
"145","20010430-14-972",2001-04-30,"14-972","Unidentified_Rotifers","Older",7806,257.733405399195,113.144964970246,TRUE
"146","20010430-16-970",2001-04-30,"16-970","A_vernalis_eggs","Egg",0,0,0,TRUE
"147","20010430-16-970",2001-04-30,"16-970","A_vernalis_w_eggs","Older",0,0,0,TRUE
"148","20010430-16-970",2001-04-30,"16-970","A_vernalis_w_eggs","Younger",0,0,0,TRUE
"149","20010430-16-970",2001-04-30,"16-970","A_vernalis_wo_eggs","Older",1,0.0143033636147461,0.045889627782259,TRUE
"150","20010430-16-970",2001-04-30,"16-970","A_vernalis_wo_eggs","Younger",0,0,0,TRUE
"151","20010430-16-970",2001-04-30,"16-970","Alona_w_eggs","Older",0,0,0,TRUE
"152","20010430-16-970",2001-04-30,"16-970","Alona_wo_eggs","Older",0,0,0,TRUE
"153","20010430-16-970",2001-04-30,"16-970","Asplanchna","Older",2,0.0286067272294921,0.00457707635671874,TRUE
"154","20010430-16-970",2001-04-30,"16-970","B_coregoni_eggs","Egg",0,0,0,TRUE
"155","20010430-16-970",2001-04-30,"16-970","B_coregoni_w_eggs","Older",0,0,0,TRUE
"156","20010430-16-970",2001-04-30,"16-970","B_coregoni_wo_eggs","Older",1,0.0143033636147461,0.0178742867769359,TRUE
"157","20010430-16-970",2001-04-30,"16-970","B_longimanus_w_eggs","Older",0,0,0,TRUE
"158","20010430-16-970",2001-04-30,"16-970","B_longimanus_wo_eggs","Older",0,0,0,TRUE
"159","20010430-16-970",2001-04-30,"16-970","B_longirostris_eggs","Egg",0,0,0,TRUE
"160","20010430-16-970",2001-04-30,"16-970","B_longirostris_w_eggs","Older",0,0,0,TRUE
"161","20010430-16-970",2001-04-30,"16-970","B_longirostris_wo_eggs","Older",4,0.0572134544589842,0.074584145204401,TRUE
"162","20010430-16-970",2001-04-30,"16-970","Brachionus","Older",35,0.500617726516112,0.100123545303222,TRUE
"163","20010430-16-970",2001-04-30,"16-970","C_pengoi_w_eggs","Older",0,0,0,TRUE
"164","20010430-16-970",2001-04-30,"16-970","C_pengoi_wo_eggs","Older",0,0,0,TRUE
"165","20010430-16-970",2001-04-30,"16-970","C_scutifer_w_eggs","Older",0,0,0,TRUE
"166","20010430-16-970",2001-04-30,"16-970","C_scutifer_wo_eggs","Older",0,0,0,TRUE
"167","20010430-16-970",2001-04-30,"16-970","Calanoid_nauplii","Nauplii",774,11.0708034378134,1.59936673461482,TRUE
"168","20010430-16-970",2001-04-30,"16-970","Calanoida_unclass","Younger",11,0.157336999762207,0.202438259772811,TRUE
"169","20010430-16-970",2001-04-30,"16-970","Canthocamptus_nauplii","Nauplii",0,0,0,TRUE
"170","20010430-16-970",2001-04-30,"16-970","Canthocamptus_w_eggs","Older",0,0,0,TRUE
"171","20010430-16-970",2001-04-30,"16-970","Canthocamptus_wo_eggs","Older",0,0,0,TRUE
"172","20010430-16-970",2001-04-30,"16-970","Ceriodaphnia_eggs","Egg",0,0,0,TRUE
"173","20010430-16-970",2001-04-30,"16-970","Ceriodaphnia_w_eggs","Older",0,0,0,TRUE
"174","20010430-16-970",2001-04-30,"16-970","Ceriodaphnia_wo_eggs","Older",0,0,0,TRUE
"175","20010430-16-970",2001-04-30,"16-970","Chydorids_w_eggs","Older",0,0,0,TRUE
"176","20010430-16-970",2001-04-30,"16-970","Chydorids_wo_eggs","Older",0,0,0,TRUE
"177","20010430-16-970",2001-04-30,"16-970","Cyclopidae_immature","Younger",0,0,0,TRUE
"178","20010430-16-970",2001-04-30,"16-970","Cyclopoid_nauplii","Nauplii",437,6.25056989964402,0.457336567857509,TRUE
"179","20010430-16-970",2001-04-30,"16-970","Cyclopoida_unclass","Younger",1,0.0143033636147461,0.00757510108782215,TRUE
"180","20010430-16-970",2001-04-30,"16-970","D_ambigua_w_eggs","Older",0,0,0,TRUE
"181","20010430-16-970",2001-04-30,"16-970","D_ambigua_wo_eggs","Older",0,0,0,TRUE
"182","20010430-16-970",2001-04-30,"16-970","D_longiremis_w_eggs","Older",0,0,0,TRUE
"183","20010430-16-970",2001-04-30,"16-970","D_longiremis_wo_eggs","Older",0,0,0,TRUE
"184","20010430-16-970",2001-04-30,"16-970","D_lumholtzi_w_eggs","Older",0,0,0,TRUE
"185","20010430-16-970",2001-04-30,"16-970","D_lumholtzi_wo_eggs","Older",0,0,0,TRUE
"186","20010430-16-970",2001-04-30,"16-970","D_mendotae_eggs","Egg",11,0.157336999762207,0.092624291760011,TRUE
"187","20010430-16-970",2001-04-30,"16-970","D_mendotae_w_eggs","Older",1,0.0143033636147461,0.173117287442521,TRUE
"188","20010430-16-970",2001-04-30,"16-970","D_mendotae_wo_eggs","Older",3,0.0429100908442382,0.355994786525373,TRUE
"189","20010430-16-970",2001-04-30,"16-970","D_parvula_w_eggs","Older",0,0,0,TRUE
"190","20010430-16-970",2001-04-30,"16-970","D_parvula_wo_eggs","Older",0,0,0,TRUE
"191","20010430-16-970",2001-04-30,"16-970","D_pulex_w_eggs","Older",0,0,0,TRUE
"192","20010430-16-970",2001-04-30,"16-970","D_pulex_wo_eggs","Older",0,0,0,TRUE
"193","20010430-16-970",2001-04-30,"16-970","D_retrocurva_eggs","Egg",0,0,0,TRUE
"194","20010430-16-970",2001-04-30,"16-970","D_retrocurva_w_eggs","Older",0,0,0,TRUE
"195","20010430-16-970",2001-04-30,"16-970","D_retrocurva_wo_eggs","Older",2,0.0286067272294921,0.0150903069835155,TRUE
"196","20010430-16-970",2001-04-30,"16-970","D_schodleri_w_eggs","Older",0,0,0,TRUE
"197","20010430-16-970",2001-04-30,"16-970","D_schodleri_wo_eggs","Older",0,0,0,TRUE
"198","20010430-16-970",2001-04-30,"16-970","D_thomasi_eggs","Egg",55,0.786684998811033,0.132163079800254,TRUE
"199","20010430-16-970",2001-04-30,"16-970","D_thomasi_w_eggs","Older",3,0.0429100908442382,0.180736640849419,TRUE
"200","20010430-16-970",2001-04-30,"16-970","D_thomasi_w_eggs","Younger",1,0.0143033636147461,NA,TRUE
"201","20010430-16-970",2001-04-30,"16-970","D_thomasi_wo_eggs","Older",67,0.958325362187986,3.20122378644041,TRUE
"202","20010430-16-970",2001-04-30,"16-970","D_thomasi_wo_eggs","Younger",11,0.157336999762207,0.197353537194949,TRUE
"203","20010430-16-970",2001-04-30,"16-970","Diaphanosoma_eggs","Egg",0,0,0,TRUE
"204","20010430-16-970",2001-04-30,"16-970","Diaphanosoma_w_eggs","Older",0,0,0,TRUE
"205","20010430-16-970",2001-04-30,"16-970","Diaphanosoma_wo_eggs","Older",0,0,0,TRUE
"206","20010430-16-970",2001-04-30,"16-970","Diaptomidae_immature","Younger",0,0,0,TRUE
"207","20010430-16-970",2001-04-30,"16-970","Dreissena_veligers","Veliger",0,0,0,TRUE
"208","20010430-16-970",2001-04-30,"16-970","E_carolleeae_eggs","Egg",0,0,0,TRUE
"209","20010430-16-970",2001-04-30,"16-970","E_carolleeae_w_eggs","Older",0,0,0,TRUE
"210","20010430-16-970",2001-04-30,"16-970","E_carolleeae_w_eggs","Younger",0,0,0,TRUE
"211","20010430-16-970",2001-04-30,"16-970","E_carolleeae_wo_eggs","Older",0,0,0,TRUE
"212","20010430-16-970",2001-04-30,"16-970","E_carolleeae_wo_eggs","Younger",0,0,0,TRUE
"213","20010430-16-970",2001-04-30,"16-970","E_lacustris","Older",0,0,0,TRUE
"214","20010430-16-970",2001-04-30,"16-970","E_lacustris","Younger",0,0,0,TRUE
"215","20010430-16-970",2001-04-30,"16-970","Ergasilus_w_eggs","Older",0,0,0,TRUE
"216","20010430-16-970",2001-04-30,"16-970","Ergasilus_wo_eggs","Older",0,0,0,TRUE
"217","20010430-16-970",2001-04-30,"16-970","Eucyclops_w_eggs","Older",0,0,0,TRUE
"218","20010430-16-970",2001-04-30,"16-970","Eucyclops_w_eggs","Younger",0,0,0,TRUE
"219","20010430-16-970",2001-04-30,"16-970","Eucyclops_wo_eggs","Older",0,0,0,TRUE
"220","20010430-16-970",2001-04-30,"16-970","Eucyclops_wo_eggs","Younger",0,0,0,TRUE
"221","20010430-16-970",2001-04-30,"16-970","H_gibberum_w_eggs","Older",0,0,0,TRUE
"222","20010430-16-970",2001-04-30,"16-970","H_gibberum_wo_eggs","Older",0,0,0,TRUE
"223","20010430-16-970",2001-04-30,"16-970","Kellicottia","Older",1,0.0143033636147461,0.000886808544114255,TRUE
"224","20010430-16-970",2001-04-30,"16-970","Keratella","Older",11,0.157336999762207,0.0173070699738427,TRUE
"225","20010430-16-970",2001-04-30,"16-970","L_ashlandi_eggs","Egg",0,0,0,TRUE
"226","20010430-16-970",2001-04-30,"16-970","L_ashlandi_w_eggs","Older",0,0,0,TRUE
"227","20010430-16-970",2001-04-30,"16-970","L_ashlandi_w_eggs","Younger",0,0,0,TRUE
"228","20010430-16-970",2001-04-30,"16-970","L_ashlandi_wo_eggs","Older",45,0.643651362663572,3.11806737293012,TRUE
"229","20010430-16-970",2001-04-30,"16-970","L_ashlandi_wo_eggs","Younger",3,0.0429100908442382,0.105385993309454,TRUE
"230","20010430-16-970",2001-04-30,"16-970","L_kindti_eggs","Egg",1,0.0143033636147461,0.0261179419605263,TRUE
"231","20010430-16-970",2001-04-30,"16-970","L_kindti_w_eggs","Older",0,0,0,TRUE
"232","20010430-16-970",2001-04-30,"16-970","L_kindti_wo_eggs","Older",0,0,0,TRUE
"233","20010430-16-970",2001-04-30,"16-970","L_macrurus_adult","Older",0,0,0,TRUE
"234","20010430-16-970",2001-04-30,"16-970","L_macrurus_adult","Younger",0,0,0,TRUE
"235","20010430-16-970",2001-04-30,"16-970","L_macrurus_immature","Younger",2,0.0286067272294921,0.517754018737354,TRUE
"236","20010430-16-970",2001-04-30,"16-970","L_minutus_eggs","Egg",36,0.514921090130858,0.0594733859101141,TRUE
"237","20010430-16-970",2001-04-30,"16-970","L_minutus_w_eggs","Older",4,0.0572134544589842,0.177149245487329,TRUE
"238","20010430-16-970",2001-04-30,"16-970","L_minutus_w_eggs","Younger",1,0.0143033636147461,NA,TRUE
"239","20010430-16-970",2001-04-30,"16-970","L_minutus_wo_eggs","Older",19,0.271763908680175,0.896667842931934,TRUE
"240","20010430-16-970",2001-04-30,"16-970","L_minutus_wo_eggs","Younger",1,0.0143033636147461,0.0170718280051039,TRUE
"241","20010430-16-970",2001-04-30,"16-970","L_sicilis_eggs","Egg",155,2.21702136028564,0.256065967112991,TRUE
"242","20010430-16-970",2001-04-30,"16-970","L_sicilis_w_eggs","Older",4,0.0572134544589842,0.498693124458941,TRUE
"243","20010430-16-970",2001-04-30,"16-970","L_sicilis_w_eggs","Younger",6,0.0858201816884763,0.351214986832137,TRUE
"244","20010430-16-970",2001-04-30,"16-970","L_sicilis_wo_eggs","Older",19,0.271763908680175,2.05357687850326,TRUE
"245","20010430-16-970",2001-04-30,"16-970","L_sicilis_wo_eggs","Younger",29,0.414797544827636,1.84910601611502,TRUE
"246","20010430-16-970",2001-04-30,"16-970","L_siciloides_eggs","Egg",0,0,0,TRUE
"247","20010430-16-970",2001-04-30,"16-970","L_siciloides_w_eggs","Older",0,0,0,TRUE
"248","20010430-16-970",2001-04-30,"16-970","L_siciloides_w_eggs","Younger",0,0,0,TRUE
"249","20010430-16-970",2001-04-30,"16-970","L_siciloides_wo_eggs","Older",0,0,0,TRUE
"250","20010430-16-970",2001-04-30,"16-970","L_siciloides_wo_eggs","Younger",1,0.0143033636147461,0.036941713489394,TRUE
"251","20010430-16-970",2001-04-30,"16-970","Loose_Bosmina_eggs","Egg",0,0,0,TRUE
"252","20010430-16-970",2001-04-30,"16-970","Loose_Cladoceran_eggs","Egg",2,0.0286067272294921,0.0290444101561033,TRUE
"253","20010430-16-970",2001-04-30,"16-970","Loose_Copepod_eggs","Egg",894,12.787207071583,1.46925009252488,TRUE
"254","20010430-16-970",2001-04-30,"16-970","Loose_Daphnia_eggs","Egg",0,0,0,TRUE
"255","20010430-16-970",2001-04-30,"16-970","M_edax_eggs","Egg",0,0,0,TRUE
