"","Sample_ID","Genus_sp_95toPresent","Life_stage2","Sample_date","Sample_site","Zoop_density","Zoop_biomass"
"111","20200618-37-890","Daphnia rosea","YO",2020-06-18,"37-890",0,0
"112","20200618-37-890","Daphnia schodleri","YO",2020-06-18,"37-890",0,0
"113","20200618-37-890","Diacyclops thomasi","YO",2020-06-18,"37-890",0.589267238051982,2.1327281155607
"114","20200618-37-890","Diaphanosoma sp.","YO",2020-06-18,"37-890",0.631357755055695,1.81673022588007
"115","20200618-37-890","Dreissena spp.","Veliger",2020-06-18,"37-890",7.40793099265349,3.444683676153
"116","20200618-37-890","Epischura lacustris","YO",2020-06-18,"37-890",0,0
"117","20200618-37-890","Ergasilus sp.","YO",2020-06-18,"37-890",0,0
"118","20200618-37-890","Euchlanis sp.","YO",2020-06-18,"37-890",0,0
"119","20200618-37-890","Eucyclops spp.","YO",2020-06-18,"37-890",0,0
"120","20200618-37-890","Eurycercus lamellatus","YO",2020-06-18,"37-890",0,0
"121","20200618-37-890","Eurytemora carolleeae","YO",2020-06-18,"37-890",0.0841810340074261,0.427708676351805
"122","20200618-37-890","Filinia sp.","YO",2020-06-18,"37-890",0,0
"123","20200618-37-890","Harpacticoida spp.","YO",2020-06-18,"37-890",0,0
"124","20200618-37-890","Harpacticoida spp. nauplii","Nauplii",2020-06-18,"37-890",0,0
"125","20200618-37-890","Holopedium gibberum","YO",2020-06-18,"37-890",0,0
"126","20200618-37-890","Ilyocryptus sp.","YO",2020-06-18,"37-890",0,0
"127","20200618-37-890","Kellicottia sp.","YO",2020-06-18,"37-890",0,0
"128","20200618-37-890","Keratella quadrata","YO",2020-06-18,"37-890",0,0
"129","20200618-37-890","Keratella sp.","YO",2020-06-18,"37-890",0.378814653033417,0.041669560603
"130","20200618-37-890","Kurzia latissima","YO",2020-06-18,"37-890",0,0
"131","20200618-37-890","Lecane sp.","YO",2020-06-18,"37-890",0,0
"132","20200618-37-890","Lepadella patella","YO",2020-06-18,"37-890",0,0
"133","20200618-37-890","Leptodiaptomus ashlandi","YO",2020-06-18,"37-890",0.0841810340074261,0.539341994447947
"134","20200618-37-890","Leptodiaptomus minutus","YO",2020-06-18,"37-890",0.0841810340074261,0.305593372160327
"135","20200618-37-890","Leptodiaptomus sicilis","YO",2020-06-18,"37-890",0,0
"136","20200618-37-890","Leptodiaptomus siciloides","YO",2020-06-18,"37-890",0.336724136029704,2.58986781270227
"137","20200618-37-890","Leptodora kindti","YO",2020-06-18,"37-890",0.168362068014852,3.04771641471721
"138","20200618-37-890","Leydigia sp.","YO",2020-06-18,"37-890",0,0
"139","20200618-37-890","Limnocalanus macrurus","YO",2020-06-18,"37-890",0,0
"140","20200618-37-890","Macrothrix sp.","YO",2020-06-18,"37-890",0.042090517003713,0.0051259017478131
"141","20200618-37-890","Mesocyclops spp.","YO",2020-06-18,"37-890",4.12487066636388,14.7266818001909
"142","20200618-37-890","Moina sp.","YO",2020-06-18,"37-890",0,0
"143","20200618-37-890","Monostyla sp.","YO",2020-06-18,"37-890",0,0
"144","20200618-37-890","Notholca sp.","YO",2020-06-18,"37-890",0,0
"145","20200618-37-890","Paracyclops poppei","YO",2020-06-18,"37-890",0,0
"146","20200618-37-890","Platyias sp.","YO",2020-06-18,"37-890",0,0
"147","20200618-37-890","Pleuroxus sp.","YO",2020-06-18,"37-890",0,0
"148","20200618-37-890","Ploesoma sp.","YO",2020-06-18,"37-890",0,0
"149","20200618-37-890","Polyarthra sp.","YO",2020-06-18,"37-890",1.01017240808911,0.74752666284
"150","20200618-37-890","Rotifera spp.","YO",2020-06-18,"37-890",1.43107757812624,0.6282422843215
"151","20200618-37-890","Scapholeberis sp.","YO",2020-06-18,"37-890",0,0
"152","20200618-37-890","Sida crystallina","YO",2020-06-18,"37-890",0,0
"153","20200618-37-890","Simocephalus sp.","YO",2020-06-18,"37-890",0,0
"154","20200618-37-890","Skistodiaptomus oregonensis","YO",2020-06-18,"37-890",0,0
"155","20200618-37-890","Skistodiaptomus reighardi","YO",2020-06-18,"37-890",0,0
"156","20200618-37-890","Synchaeta sp.","YO",2020-06-18,"37-890",0,0
"157","20200618-37-890","Testudinella sp.","YO",2020-06-18,"37-890",0,0
"158","20200618-37-890","Trichocerca sp.","YO",2020-06-18,"37-890",0,0
"159","20200618-37-890","Tropocyclops prasinus mexicanus","YO",2020-06-18,"37-890",0,0
"160","20200618-37-890","Unidentified Daphniidae spp.","YO",2020-06-18,"37-890",0,0
"161","20200629-37-890","Acanthocyclops vernalis","YO",2020-06-29,"37-890",2.36161455321352,7.33188643269402
"162","20200629-37-890","Acroperus harpae","YO",2020-06-29,"37-890",0,0
"163","20200629-37-890","Alona sp.","YO",2020-06-29,"37-890",0,0
"164","20200629-37-890","Alonella sp.","YO",2020-06-29,"37-890",0,0
"165","20200629-37-890","Argulus sp.","YO",2020-06-29,"37-890",0,0
"166","20200629-37-890","Ascomorpha sp.","YO",2020-06-29,"37-890",0,0
"167","20200629-37-890","Asplanchna sp.","YO",2020-06-29,"37-890",0.29520181915169,0.047232232992
"168","20200629-37-890","Bipalpus hudsoni","YO",2020-06-29,"37-890",0,0
"169","20200629-37-890","Bosmina coregoni","YO",2020-06-29,"37-890",1.77121091491014,4.70965357355526
"170","20200629-37-890","Bosmina longirostris","YO",2020-06-29,"37-890",2.9520181915169,3.1917342723136
"171","20200629-37-890","Bosminopsis deitersi","YO",2020-06-29,"37-890",0,0
"172","20200629-37-890","Brachionus sp.","YO",2020-06-29,"37-890",4.72322910642704,0.9446446598
"173","20200629-37-890","Calanoida spp.","YO",2020-06-29,"37-890",2.36161455321352,3.85871694042341
"174","20200629-37-890","Calanoida spp. nauplii","Nauplii",2020-06-29,"37-890",52.2507219898492,7.05509793466164
"175","20200629-37-890","Camptocercus sp.","YO",2020-06-29,"37-890",0,0
"176","20200629-37-890","Ceriodaphnia sp.","YO",2020-06-29,"37-890",0,0
"177","20200629-37-890","Chydoridae spp.","YO",2020-06-29,"37-890",0,0
"178","20200629-37-890","Cladocera sp.","YO",2020-06-29,"37-890",0,0
"179","20200629-37-890","Collotheca sp.","YO",2020-06-29,"37-890",0,0
"180","20200629-37-890","Conochilus sp.","YO",2020-06-29,"37-890",0,0
"181","20200629-37-890","Cyclopoida spp.","YO",2020-06-29,"37-890",3.24722001066859,3.21268919905535
"182","20200629-37-890","Cyclopoida spp. nauplii","Nauplii",2020-06-29,"37-890",12.398476404371,1.16879496697612
"183","20200629-37-890","Daphnia ambigua","YO",2020-06-29,"37-890",0,0
"184","20200629-37-890","Daphnia laevis","YO",2020-06-29,"37-890",0,0
"185","20200629-37-890","Daphnia longiremis","YO",2020-06-29,"37-890",0,0
"186","20200629-37-890","Daphnia lumholtzi","YO",2020-06-29,"37-890",0,0
"187","20200629-37-890","Daphnia mendotae","YO",2020-06-29,"37-890",6.49444002133719,60.8576291038405
"188","20200629-37-890","Daphnia parvula","YO",2020-06-29,"37-890",0,0
"189","20200629-37-890","Daphnia pulex","YO",2020-06-29,"37-890",0,0
"190","20200629-37-890","Daphnia retrocurva","YO",2020-06-29,"37-890",210.774098874307,1125.68708048811
"191","20200629-37-890","Daphnia rosea","YO",2020-06-29,"37-890",0,0
"192","20200629-37-890","Daphnia schodleri","YO",2020-06-29,"37-890",0,0
"193","20200629-37-890","Diacyclops thomasi","YO",2020-06-29,"37-890",0,0
"194","20200629-37-890","Diaphanosoma sp.","YO",2020-06-29,"37-890",0.885605457455071,2.57141376430102
"195","20200629-37-890","Dreissena spp.","Veliger",2020-06-29,"37-890",174.759476937801,81.2630568585975
"196","20200629-37-890","Epischura lacustris","YO",2020-06-29,"37-890",0,0
"197","20200629-37-890","Ergasilus sp.","YO",2020-06-29,"37-890",0,0
"198","20200629-37-890","Euchlanis sp.","YO",2020-06-29,"37-890",0,0
"199","20200629-37-890","Eucyclops spp.","YO",2020-06-29,"37-890",0,0
"200","20200629-37-890","Eurycercus lamellatus","YO",2020-06-29,"37-890",0,0
"201","20200629-37-890","Eurytemora carolleeae","YO",2020-06-29,"37-890",0,0
"202","20200629-37-890","Filinia sp.","YO",2020-06-29,"37-890",0,0
"203","20200629-37-890","Harpacticoida spp.","YO",2020-06-29,"37-890",0,0
"204","20200629-37-890","Harpacticoida spp. nauplii","Nauplii",2020-06-29,"37-890",0,0
"205","20200629-37-890","Holopedium gibberum","YO",2020-06-29,"37-890",0,0
"206","20200629-37-890","Ilyocryptus sp.","YO",2020-06-29,"37-890",0,0
"207","20200629-37-890","Kellicottia sp.","YO",2020-06-29,"37-890",0,0
"208","20200629-37-890","Keratella quadrata","YO",2020-06-29,"37-890",0,0
"209","20200629-37-890","Keratella sp.","YO",2020-06-29,"37-890",3.83762364897197,0.422138082344
"210","20200629-37-890","Kurzia latissima","YO",2020-06-29,"37-890",0,0
"211","20200629-37-890","Lecane sp.","YO",2020-06-29,"37-890",0,0
"212","20200629-37-890","Lepadella patella","YO",2020-06-29,"37-890",0,0
"213","20200629-37-890","Leptodiaptomus ashlandi","YO",2020-06-29,"37-890",0,0
"214","20200629-37-890","Leptodiaptomus minutus","YO",2020-06-29,"37-890",0,0
"215","20200629-37-890","Leptodiaptomus sicilis","YO",2020-06-29,"37-890",0,0
"216","20200629-37-890","Leptodiaptomus siciloides","YO",2020-06-29,"37-890",1.18080727660676,6.68235031569199
"217","20200629-37-890","Leptodora kindti","YO",2020-06-29,"37-890",2.36161455321352,21.1210896803727
"218","20200629-37-890","Leydigia sp.","YO",2020-06-29,"37-890",0,0
"219","20200629-37-890","Limnocalanus macrurus","YO",2020-06-29,"37-890",0,0
"220","20200629-37-890","Macrothrix sp.","YO",2020-06-29,"37-890",0,0
"221","20200629-37-890","Mesocyclops spp.","YO",2020-06-29,"37-890",6.49444002133719,26.1999982952491
"222","20200629-37-890","Moina sp.","YO",2020-06-29,"37-890",0,0
"223","20200629-37-890","Monostyla sp.","YO",2020-06-29,"37-890",0,0
"224","20200629-37-890","Notholca sp.","YO",2020-06-29,"37-890",0,0
"225","20200629-37-890","Paracyclops poppei","YO",2020-06-29,"37-890",0,0
"226","20200629-37-890","Platyias sp.","YO",2020-06-29,"37-890",0,0
"227","20200629-37-890","Pleuroxus sp.","YO",2020-06-29,"37-890",0,0
"228","20200629-37-890","Ploesoma sp.","YO",2020-06-29,"37-890",3.83762364897197,0
"229","20200629-37-890","Polyarthra sp.","YO",2020-06-29,"37-890",47.2322910642704,34.951852412304
"230","20200629-37-890","Rotifera spp.","YO",2020-06-29,"37-890",44.2802728727535,19.4390158898042
"231","20200629-37-890","Scapholeberis sp.","YO",2020-06-29,"37-890",0,0
"232","20200629-37-890","Sida crystallina","YO",2020-06-29,"37-890",0,0
"233","20200629-37-890","Simocephalus sp.","YO",2020-06-29,"37-890",0,0
"234","20200629-37-890","Skistodiaptomus oregonensis","YO",2020-06-29,"37-890",0,0
"235","20200629-37-890","Skistodiaptomus reighardi","YO",2020-06-29,"37-890",0,0
"236","20200629-37-890","Synchaeta sp.","YO",2020-06-29,"37-890",0,0
"237","20200629-37-890","Testudinella sp.","YO",2020-06-29,"37-890",0,0
"238","20200629-37-890","Trichocerca sp.","YO",2020-06-29,"37-890",0,0
"239","20200629-37-890","Tropocyclops prasinus mexicanus","YO",2020-06-29,"37-890",0,0
"240","20200629-37-890","Unidentified Daphniidae spp.","YO",2020-06-29,"37-890",0,0
"241","20200714-37-890","Acanthocyclops vernalis","YO",2020-07-14,"37-890",0,0
"242","20200714-37-890","Acroperus harpae","YO",2020-07-14,"37-890",0,0
"243","20200714-37-890","Alona sp.","YO",2020-07-14,"37-890",0,0
"244","20200714-37-890","Alonella sp.","YO",2020-07-14,"37-890",0,0
"245","20200714-37-890","Argulus sp.","YO",2020-07-14,"37-890",0,0
"246","20200714-37-890","Ascomorpha sp.","YO",2020-07-14,"37-890",0,0
"247","20200714-37-890","Asplanchna sp.","YO",2020-07-14,"37-890",7.1745362477604,1.147924388208
"248","20200714-37-890","Bipalpus hudsoni","YO",2020-07-14,"37-890",0,0
"249","20200714-37-890","Bosmina coregoni","YO",2020-07-14,"37-890",0.18635159085092,0.45544396127804
"250","20200714-37-890","Bosmina longirostris","YO",2020-07-14,"37-890",0.279527386276379,0.245192282089309
"251","20200714-37-890","Bosminopsis deitersi","YO",2020-07-14,"37-890",0,0
"252","20200714-37-890","Brachionus sp.","YO",2020-07-14,"37-890",9.13122795169506,1.82624334488
"253","20200714-37-890","Calanoida spp.","YO",2020-07-14,"37-890",0.838582158829138,1.39995409483327
"254","20200714-37-890","Calanoida spp. nauplii","Nauplii",2020-07-14,"37-890",48.4514136212391,9.06879092034264
"255","20200714-37-890","Camptocercus sp.","YO",2020-07-14,"37-890",0,0
"256","20200714-37-890","Ceriodaphnia sp.","YO",2020-07-14,"37-890",0,0
"257","20200714-37-890","Chydoridae spp.","YO",2020-07-14,"37-890",0,0
"258","20200714-37-890","Cladocera sp.","YO",2020-07-14,"37-890",0,0
"259","20200714-37-890","Collotheca sp.","YO",2020-07-14,"37-890",0,0
"260","20200714-37-890","Conochilus sp.","YO",2020-07-14,"37-890",0,0
"261","20200714-37-890","Cyclopoida spp.","YO",2020-07-14,"37-890",11.0879196556297,12.0488741884116
"262","20200714-37-890","Cyclopoida spp. nauplii","Nauplii",2020-07-14,"37-890",6.80183306605856,0.703969825646064
"263","20200714-37-890","Daphnia ambigua","YO",2020-07-14,"37-890",0,0
"264","20200714-37-890","Daphnia laevis","YO",2020-07-14,"37-890",0,0
"265","20200714-37-890","Daphnia longiremis","YO",2020-07-14,"37-890",0,0
"266","20200714-37-890","Daphnia lumholtzi","YO",2020-07-14,"37-890",0.0931757954254598,1.00868280104867
"267","20200714-37-890","Daphnia mendotae","YO",2020-07-14,"37-890",7.82676681573862,107.607981413821
"268","20200714-37-890","Daphnia parvula","YO",2020-07-14,"37-890",0,0
"269","20200714-37-890","Daphnia pulex","YO",2020-07-14,"37-890",0,0
"270","20200714-37-890","Daphnia retrocurva","YO",2020-07-14,"37-890",0.0931757954254598,0.109982729637296
"271","20200714-37-890","Daphnia rosea","YO",2020-07-14,"37-890",0,0
"272","20200714-37-890","Daphnia schodleri","YO",2020-07-14,"37-890",0,0
"273","20200714-37-890","Diacyclops thomasi","YO",2020-07-14,"37-890",0,0
"274","20200714-37-890","Diaphanosoma sp.","YO",2020-07-14,"37-890",1.02493374968006,2.81276752078167
"275","20200714-37-890","Dreissena spp.","Veliger",2020-07-14,"37-890",307.01424592689,142.761448822833
"276","20200714-37-890","Epischura lacustris","YO",2020-07-14,"37-890",0,0
"277","20200714-37-890","Ergasilus sp.","YO",2020-07-14,"37-890",0,0
"278","20200714-37-890","Euchlanis sp.","YO",2020-07-14,"37-890",0,0
"279","20200714-37-890","Eucyclops spp.","YO",2020-07-14,"37-890",0,0
"280","20200714-37-890","Eurycercus lamellatus","YO",2020-07-14,"37-890",0,0
"281","20200714-37-890","Eurytemora carolleeae","YO",2020-07-14,"37-890",0,0
"282","20200714-37-890","Filinia sp.","YO",2020-07-14,"37-890",0,0
"283","20200714-37-890","Harpacticoida spp.","YO",2020-07-14,"37-890",0,0
"284","20200714-37-890","Harpacticoida spp. nauplii","Nauplii",2020-07-14,"37-890",0,0
"285","20200714-37-890","Holopedium gibberum","YO",2020-07-14,"37-890",0,0
"286","20200714-37-890","Ilyocryptus sp.","YO",2020-07-14,"37-890",0,0
"287","20200714-37-890","Kellicottia sp.","YO",2020-07-14,"37-890",0,0
"288","20200714-37-890","Keratella quadrata","YO",2020-07-14,"37-890",0,0
"289","20200714-37-890","Keratella sp.","YO",2020-07-14,"37-890",1.95669170393466,0.215235822791
"290","20200714-37-890","Kurzia latissima","YO",2020-07-14,"37-890",0,0
"291","20200714-37-890","Lecane sp.","YO",2020-07-14,"37-890",0,0
"292","20200714-37-890","Lepadella patella","YO",2020-07-14,"37-890",0,0
"293","20200714-37-890","Leptodiaptomus ashlandi","YO",2020-07-14,"37-890",0,0
"294","20200714-37-890","Leptodiaptomus minutus","YO",2020-07-14,"37-890",0,0
"295","20200714-37-890","Leptodiaptomus sicilis","YO",2020-07-14,"37-890",0,0
"296","20200714-37-890","Leptodiaptomus siciloides","YO",2020-07-14,"37-890",0,0
"297","20200714-37-890","Leptodora kindti","YO",2020-07-14,"37-890",0.745406363403678,7.65531784889051
"298","20200714-37-890","Leydigia sp.","YO",2020-07-14,"37-890",0,0
"299","20200714-37-890","Limnocalanus macrurus","YO",2020-07-14,"37-890",0,0
"300","20200714-37-890","Macrothrix sp.","YO",2020-07-14,"37-890",0,0
"301","20200714-37-890","Mesocyclops spp.","YO",2020-07-14,"37-890",7.45406363403678,35.2027006220466
"302","20200714-37-890","Moina sp.","YO",2020-07-14,"37-890",0,0
"303","20200714-37-890","Monostyla sp.","YO",2020-07-14,"37-890",0,0
"304","20200714-37-890","Notholca sp.","YO",2020-07-14,"37-890",0,0
"305","20200714-37-890","Paracyclops poppei","YO",2020-07-14,"37-890",0,0
"306","20200714-37-890","Platyias sp.","YO",2020-07-14,"37-890",0,0
"307","20200714-37-890","Pleuroxus sp.","YO",2020-07-14,"37-890",0,0
"308","20200714-37-890","Ploesoma sp.","YO",2020-07-14,"37-890",0.465878977127299,0
"309","20200714-37-890","Polyarthra sp.","YO",2020-07-14,"37-890",314.002430583799,232.361512930592
"310","20200714-37-890","Rotifera spp.","YO",2020-07-14,"37-890",395.065372603949,173.433485326974
"311","20200714-37-890","Scapholeberis sp.","YO",2020-07-14,"37-890",0,0
"312","20200714-37-890","Sida crystallina","YO",2020-07-14,"37-890",0,0
"313","20200714-37-890","Simocephalus sp.","YO",2020-07-14,"37-890",0,0
"314","20200714-37-890","Skistodiaptomus oregonensis","YO",2020-07-14,"37-890",0.372703181701839,2.18142346531346
"315","20200714-37-890","Skistodiaptomus reighardi","YO",2020-07-14,"37-890",0.0931757954254598,0.385452351936673
"316","20200714-37-890","Synchaeta sp.","YO",2020-07-14,"37-890",0,0
"317","20200714-37-890","Testudinella sp.","YO",2020-07-14,"37-890",0,0
"318","20200714-37-890","Trichocerca sp.","YO",2020-07-14,"37-890",0,0
"319","20200714-37-890","Tropocyclops prasinus mexicanus","YO",2020-07-14,"37-890",0,0
