"","Genus_type","Taxa_name","Kingdom","Phylum","Class","Order1","Family","Genus","Type","Edible","Conversion_um_per_cell","Volumetric_equation"
"38","Eutetramorus","Eutetramorus","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Radiococcaceae","Eutetramorus","Colonial","TRUE","","(Pi * Diameter^3) / 6"
"39","Fragilaria","Fragilaria","Plantae","Bacillariophyta","Bacillariophyceae","Fragilariales","Fragilariaceae","Fragilaria","Solitary","TRUE","","(Length * Width * (Width / 2))"
"40","Franceia","Franceia","Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Oocystaceae","Franceia","Solitary","TRUE","","(Pi * Diameter^3) / 6"
"41","Golenkinia","Golenkinia","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Neochloridaceae","Golenkinia","Solitary","TRUE","","(Pi * Diameter^3) / 6"
"42","Gomphonema","Gomphonema","Plantae","Bacillariophyta","Bacillariophyceae","Cymbellales","Gomphonemataceae","Gomphonema","Solitary","TRUE","","((Width2 / 2) * Length * ((Width1 + Width2) / 2))"
"43","Gonium","Gonium","Plantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Goniaceae","Gonium","Colonial","TRUE","","(Pi * Diameter^3) / 6"
"44","Gymnodinium","Gymnodinium","Chromista","Miozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gymnodinium","Solitary","TRUE","","(Pi * Length * Width^2)/6"
"45","Gyrosigma","Gyrosigma","Plantae","Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Gyrosigma","Solitary","TRUE","","(Length * Width * (Width / 2))"
"46","Kirchneriella","Kirchneriella","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Kirchneriella","Colonial","TRUE","","(Pi * Length * Width^2)/12"
"47","Lagerheimia","Lagerheimia","Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Oocystaceae","Lagerheimia","Solitary","TRUE","","(Pi * Diameter^3) / 6"
"48","Lyngbya","Lyngbya","Eubacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Oscillatoriaceae","Lyngbya","Filament","FALSE","","(Pi * Width^2 * (TotalLength / Number_of_Filaments)) / 4"
"49","Mallomonas","Mallomonas","Plantae","Ochrophyta","Synurophyceae","Synurales","Mallomonadaceae","Mallomonas","Solitary","TRUE","","(Pi * Length * Width^2)/6"
"50","Merismopedia","Merismopedia","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Merismopediaceae","Merismopedia","Colonial","FALSE","","(Pi * Diameter^3) / 6"
"51","Micractinium","Micractinium","Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Micractinium","Solitary","FALSE","","(Pi * Diameter^3) / 6"
"52","Microcystis_lg_celled_by_cell","Microcystis","Eubacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Microcystaceae","Microcystis","Colonial","FALSE","","(Pi * Diameter^3) / 6"
"53","Microcystis_sm_celled_by_col","Microcystis_ColBiom","Eubacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Microcystaceae","Microcystis","Colonial","FALSE","","(Pi * Diameter^3) / 6"
"54","Navicula","Navicula","Plantae","Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Solitary","TRUE","","(Length * Width * (Width / 2))"
"55","Nitzschia","Nitzschia","Plantae","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Solitary","TRUE","","(Length * Width * (Width / 2))"
"56","Oocystis","Oocystis","Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Oocystaceae","Oocystis","Colonial","TRUE","","(Pi * Diameter^3) / 6"
"57","Opephora","Opephora","Plantae","Bacillariophyta","Bacillariophyceae","Fragilariales","Fragilariaceae","Opephora","Solitary","TRUE","","(Length * Width * (Width / 2))"
"58","Pandorina","Pandorina","Plantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Volvocaceae","Pandorina","Colonial","TRUE","","(Pi * Diameter^3) / 6"
"59","Pediastrum","Pediastrum","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Hydrodictyaceae","Pediastrum","Colonial","TRUE","","((Diameter^2 * Pi * 0.15) / 4)"
"60","Pennate_Diatom","Pennate Diatom","Plantae","Bacillariophyta","","","","","Solitary","TRUE","","(Length * Width * (Width / 2))"
"61","Peridinium","Peridinium","Chromista","Miozoa","Dinophyceae","Peridiniales","Peridiniaceae","Peridinium","Solitary","TRUE","","(Pi * Length * Width^2)/6"
"62","Planktothrix","Planktothrix","Eubacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Microcoleaceae","Planktothrix","Filament","FALSE","","(Pi * Width^2 * (TotalLength / Number_of_Filaments)) / 4"
"63","Pseudanabaena","Pseudanabaena","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Pseudanabaenaceae","Pseudanabaena","Filament","FALSE","","((Pi * Length^2 * Width) / 4)"
"64","Rhizosolenia","Rhizosolenia","Plantae","Bacillariophyta","Coscinodiscophyceae","Rhizosoleniales","Rhizosoleniaceae","Rhizosolenia","Solitary","TRUE","","(Length * Width * (Width / 2))"
"65","Rhodomonas","Rhodomonas","Chromista","Cryptophyta","Cryptophyceae","Pyrenomonadales","Pyrenomonadaceae","Rhodomonas","Solitary","TRUE","","(Pi * Length * Width^2)/6"
"66","Rhoicosphenia","Rhoicosphenia","Plantae","Bacillariophyta","Bacillariophyceae","Cymbellales","Rhoicospheniaceae","Rhoicosphenia","Solitary","TRUE","","((Width2 / 2) * Length * ((Width1 + Width2) / 2))"
"67","Scenedesmus","Scenedesmus","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Scenedesmus","Colonial","TRUE","","(Pi * Length * Width^2)/6"
"68","Schroederia","Schroederia","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Schroederiaceae","Schroederia","Solitary","TRUE","","(Pi * Length * Width^2)/12"
"69","Solitary_Green","Solitary Green","Plantae","Chlorophyta","","","","","Solitary","TRUE","","(Pi * Diameter^3) / 6"
"70","Sphaerocystis","Sphaerocystis","Plantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Sphaerocystidaceae","Sphaerocystis","Colonial","TRUE","","(Pi * Diameter^3) / 6"
"71","Spiny_Green","Spiny Green","Plantae","Chlorophyta","","","","","Solitary","FALSE","","(Pi * Diameter^3) / 6"
"72","Spirogyra","Spirogyra","Plantae","Charophyta","Conjugatophyceae","Zygnematales","Zygnemataceae","Spirogyra","Filament","TRUE","","(Pi * Width^2 * (TotalLength / Number_of_Filaments)) / 4"
"73","Spirulina","Spirulina","Eubacteria","Cyanobacteria","Cyanophyceae","Spirulinales","Spirulinaceae","Spirulina","Filament","FALSE","","((Pi * Length^2 * Width) / 4)"
"74","Staurastrum","Staurastrum","Plantae","Charophyta","Conjugatophyceae","Desmidiales","Desmidiaceae","Staurastrum","Solitary","TRUE","","(Pi * Diameter^3) / 6"
"75","Stephanodiscus","Stephanodiscus","Plantae","Bacillariophyta","Mediophyceae","Stephanodiscales","Stephanodiscaceae","Stephanodiscus","Solitary","TRUE","","(Diameter^2 * Pi * (Diameter / 2)) / 4"
"76","Surirella","Surirella","Plantae","Bacillariophyta","Bacillariophyceae","Surirellales","Surirellaceae","Surirella","Solitary","TRUE","","(Length * (Length / 2) * (Width - Length + (Pi / 4) * Length))"
"77","Synedra","Synedra","Plantae","Bacillariophyta","Bacillariophyceae","Fragilariales","Fragilariaceae","Synedra","Solitary","TRUE","","(Length * Width * (Width / 2))"
"78","Synura","Synura","Plantae","Ochrophyta","Synurophyceae","Synurales","Synuraceae","Synura","Colonial","TRUE","","(Pi * Diameter^3) / 6"
"79","Tabellaria","Tabellaria","Plantae","Bacillariophyta","Bacillariophyceae","Tabellariales","Tabellariaceae","Tabellaria","Colonial","TRUE","","(Length * Width * (Width / 2))"
"80","Tetraedron","Tetraedron","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Hydrodictyaceae","Tetraedron","Solitary","TRUE","","(Pi * Length * Width^2)/12"
"81","Treubaria","Treubaria","Plantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Treubariaceae","Treubaria","Solitary","TRUE","","(Pi * Diameter^3) / 6"
"82","Aphanocapsa_col","Aphanocapsa","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Merismopediaceae","Aphanocapsa","Colonial","FALSE","","(Pi * Diameter^3) / 6"
"83","Cylindrospermopsis","Cylindrospermopsis","Eubacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cylindrospermopsis","Filament","FALSE","","(Pi * Width^2 * (TotalLength / Number_of_Filaments)) / 4"
"84","Microcystis_lg_celled_by_col","Microcystis_ColBiom","Eubacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Microcystaceae","Microcystis","Colonial","FALSE","","(Pi * Diameter^3) / 6"
"85","Microcystis_sm_celled_by_cell","Microcystis","Eubacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Microcystaceae","Microcystis","Colonial","FALSE","","(Pi * Diameter^3) / 6"
