"","Sample_ID","Sample_date","Sample_site","Chl_a_ugL_L"
"212","20040618-1281_5m",2004-06-18,"1281_5m",4.16787
"213","20040630-1279_20m",2004-06-30,"1279_20m",1.002585
"214","20040630-1280_15m",2004-06-30,"1280_15m",1.787565
"215","20040630-1281_10m",2004-06-30,"1281_10m",3.493695
"216","20040630-1318_20m",2004-06-30,"1318_20m",1.488525
"217","20040630-1319_15m",2004-06-30,"1319_15m",3.197325
"218","20040630-1320_10m",2004-06-30,"1320_10m",3.645885
"219","20040630-1320_5m",2004-06-30,"1320_5m",1.314975
"220","20040730-1279_20m",2004-07-30,"1279_20m",1.58598
"221","20040730-1280_15m",2004-07-30,"1280_15m",2.04255
"222","20040730-1281_10m",2004-07-30,"1281_10m",2.56053
"223","20040730-1281_5m",2004-07-30,"1281_5m",1.94643
"224","20040730-1318_20m",2004-07-30,"1318_20m",0.84105
"225","20040730-1319_15m",2004-07-30,"1319_15m",2.29887
"226","20040730-1320_10m",2004-07-30,"1320_10m",2.38698
"227","20040730-1320_5m",2004-07-30,"1320_5m",1.57263
"228","20040813-1279_20m",2004-08-13,"1279_20m",1.39908
"229","20040813-1280_15m",2004-08-13,"1280_15m",2.33358
"230","20040813-1281_10m",2004-08-13,"1281_10m",2.72073
"231","20040813-1281_5m",2004-08-13,"1281_5m",3.89286
"232","20040910-1279_20m",2004-09-10,"1279_20m",2.48844
"233","20040910-1280_15m",2004-09-10,"1280_15m",2.82486
"234","20040910-1281_10m",2004-09-10,"1281_10m",2.6967
"235","20040910-1281_5m",2004-09-10,"1281_5m",2.22678
"236","20040910-1318_20m",2004-09-10,"1318_20m",2.63262
"237","20040910-1319_15m",2004-09-10,"1319_15m",2.31222
"238","20040910-1320_10m",2004-09-10,"1320_10m",2.95302
"239","20040910-1320_5m",2004-09-10,"1320_5m",3.67392
"240","20040916-1279_20m",2004-09-16,"1279_20m",3.832785
"241","20040916-1280_15m",2004-09-16,"1280_15m",0.511305
"242","20040916-1281_10m",2004-09-16,"1281_10m",5.498865
"243","20040916-1281_5m",2004-09-16,"1281_5m",5.899365
"244","20040916-1318_20m",2004-09-16,"1318_20m",4.756605
"245","20040916-1319_15m",2004-09-16,"1319_15m",4.569705
"246","20040916-1320_10m",2004-09-16,"1320_10m",5.327985
"247","20040916-1320_5m",2004-09-16,"1320_5m",4.153185
"248","20050504-1279_20m",2005-05-04,"1279_20m",14.85054
"249","20050504-1280_15m",2005-05-04,"1280_15m",7.90854
"250","20050504-1281_10m",2005-05-04,"1281_10m",3.3909
"251","20050504-1318_20m",2005-05-04,"1318_20m",14.7384
"252","20050504-1319_15m",2005-05-04,"1319_15m",8.26632
"253","20050504-1320_10m",2005-05-04,"1320_10m",6.54684
"254","20050504-1320_5m",2005-05-04,"1320_5m",4.01568
"255","20050513-1281_10m",2005-05-13,"1281_10m",15.61416
"256","20050513-1281_5m",2005-05-13,"1281_5m",5.19048
"257","20050601-1279_20m",2005-06-01,"1279_20m",4.81668
"258","20050601-1280_15m",2005-06-01,"1280_15m",3.91422
"259","20050601-1281_10m",2005-06-01,"1281_10m",4.63512
"260","20050601-1281_5m",2005-06-01,"1281_5m",6.92598
"261","20050601-1310_10m",2005-06-01,"1310_10m",4.4322
"262","20050601-1310_5m",2005-06-01,"1310_5m",4.1118
"263","20050601-1318_20m",2005-06-01,"1318_20m",6.49878
"264","20050601-1319_15m",2005-06-01,"1319_15m",1.98114
"265","20050613-1279_20m",2005-06-13,"1279_20m",0.36846
"266","20050613-1281_10m",2005-06-13,"1281_10m",1.00392
"267","20050613-1281_5m",2005-06-13,"1281_5m",0.58473
"268","20050613-1310_5m",2005-06-13,"1310_5m",0.4272
"269","20050613-1318_20m",2005-06-13,"1318_20m",0.0801
"270","20050613-1319_15m",2005-06-13,"1319_15m",0.25632
"271","20050613-1320_10m",2005-06-13,"1320_10m",0.51264
"272","20050627-1279_20m",2005-06-27,"1279_20m",1.16946
"273","20050627-1280_15m",2005-06-27,"1280_15m",1.37505
"274","20050627-1281_10m",2005-06-27,"1281_10m",1.43379
"275","20050627-1281_5m",2005-06-27,"1281_5m",2.53917
"276","20050627-1310_5m",2005-06-27,"1310_5m",8.03581
"277","20050627-1318_20m",2005-06-27,"1318_20m",0.96921
"278","20050627-1319_15m",2005-06-27,"1319_15m",0.74493
"279","20050627-1320_10m",2005-06-27,"1320_10m",1.00125
"280","20050713-1279_20m",2005-07-13,"1279_20m",0.92382
"281","20050713-1280_15m",2005-07-13,"1280_15m",1.53258
"282","20050713-1310_5m",2005-07-13,"1310_5m",11.43294
"283","20050713-1318_20m",2005-07-13,"1318_20m",0.47526
"284","20050713-1319_15m",2005-07-13,"1319_15m",0.9879
"285","20050713-1320_10m",2005-07-13,"1320_10m",3.81454
"286","20050725-1279_20m",2005-07-25,"1279_20m",0.6942
"287","20050725-1280_15m",2005-07-25,"1280_15m",1.14276
"288","20050725-1281_10m",2005-07-25,"1281_10m",4.10112
"289","20050725-1281_5m",2005-07-25,"1281_5m",2.52048
"290","20050725-1310_5m",2005-07-25,"1310_5m",0.26166
"291","20050725-1318_20m",2005-07-25,"1318_20m",1.18548
"292","20050725-1319_15m",2005-07-25,"1319_15m",0.09078
"293","20050725-1320_10m",2005-07-25,"1320_10m",0.66216
"294","20050808-1279_20m",2005-08-08,"1279_20m",0.64881
"295","20050808-1280_15m",2005-08-08,"1280_15m",2.02119
"296","20050808-1281_10m",2005-08-08,"1281_10m",3.07851
"297","20050808-1281_5m",2005-08-08,"1281_5m",4.433535
"298","20050808-1310_5m",2005-08-08,"1310_5m",1.48452
"299","20050808-1319_15m",2005-08-08,"1319_15m",2.07459
"300","20050808-1320_10m",2005-08-08,"1320_10m",2.25081
"301","20050808-1318_20m",2005-08-08,"1318_20m",3.085185
"302","20060504-1279_20m",2006-05-04,"1279_20m",3.96228
"303","20060504-1280_15m",2006-05-04,"1280_15m",6.99006
"304","20060504-1281_10m",2006-05-04,"1281_10m",3.19866
"305","20060504-1281_5m",2006-05-04,"1281_5m",4.39482
"306","20060504-1310_5m",2006-05-04,"1310_5m",3.78606
"307","20060504-1318_20m",2006-05-04,"1318_20m",6.98472
"308","20060504-1319_15m",2006-05-04,"1319_15m",4.3788
"309","20060504-1320_10m",2006-05-04,"1320_10m",3.86082
"310","20060523-1310_5m",2006-05-23,"1310_5m",1.30296
"311","20060523-1318_20m",2006-05-23,"1318_20m",4.52832
"312","20060523-1319_15m",2006-05-23,"1319_15m",2.22144
"313","20060601-1279_20m",2006-06-01,"1279_20m",0.64614
"314","20060601-1281_10mA",2006-06-01,"1281_10m",1.9224
"315","20060601-1281_10mB",2006-06-01,"1281_10m",4.87008
"316","20060601-1310_5m",2006-06-01,"1310_5m",1.89036
"317","20060601-1318_20m",2006-06-01,"1318_20m",0.57138
"318","20060601-1319_15m",2006-06-01,"1319_15m",1.04664
"319","20060601-1320_10m",2006-06-01,"1320_10m",2.90496
"320","20060616-1279_20m",2006-06-16,"1279_20m",0.21093
"321","20060616-1280_15mA",2006-06-16,"1280_15m",0.74493
"322","20060616-1280_15mB",2006-06-16,"1280_15m",1.11873
"323","20060616-1281_10m",2006-06-16,"1281_10m",1.67409
"324","20060616-1281_5m",2006-06-16,"1281_5m",1.46583
"325","20060616-1310_5m",2006-06-16,"1310_5m",1.32699
"326","20060616-1318_20m",2006-06-16,"1318_20m",0.33909
"327","20060616-1319_15m",2006-06-16,"1319_15m",1.83429
"328","20060616-1320_10m",2006-06-16,"1320_10m",1.72749
"329","20060628-1310_5m",2006-06-28,"1310_5m",3.09275
"330","20060628-1318_20m",2006-06-28,"1318_20m",1.61535
"331","20060628-1319_15m",2006-06-28,"1319_15m",1.55928
"332","20060628-1320_10m",2006-06-28,"1320_10m",1.74351
"333","20060703-1279_20m",2006-07-03,"1279_20m",3.8715
"334","20060703-1281_5m",2006-07-03,"1281_5m",1.969125
"335","20060711-1279_20m",2006-07-11,"1279_20m",0
"336","20060711-1280_15m",2006-07-11,"1280_15m",0.23496
"337","20060711-1281_10m",2006-07-11,"1281_10m",2.80884
"338","20060711-1281_5m",2006-07-11,"1281_5m",11.5878
"339","20060717-1279_20m",2006-07-17,"1279_20m",1.39908
"340","20060717-1280_15m",2006-07-17,"1280_15m",1.54326
"341","20060717-1281_10m",2006-07-17,"1281_10m",4.20792
"342","20060717-1281_5m",2006-07-17,"1281_5m",6.02085
"343","20060718-1310_5m",2006-07-18,"1310_5m",1.99182
"344","20060718-1318_20m",2006-07-18,"1318_20m",1.03062
"345","20060718-1319_15m",2006-07-18,"1319_15m",1.22286
"346","20060718-1320_10m",2006-07-18,"1320_10m",1.69278
"347","20060731-1279_20m",2006-07-31,"1279_20m",1.4151
"348","20060731-1280_15m",2006-07-31,"1280_15m",2.41902
"349","20060731-1281_10m",2006-07-31,"1281_10m",3.61518
"350","20060731-1281_5m",2006-07-31,"1281_5m",4.06374
"351","20060731-1310_5m",2006-07-31,"1310_5m",1.32966
"352","20060731-1318_20m",2006-07-31,"1318_20m",0.89178
"353","20060731-1319_15m",2006-07-31,"1319_15m",1.8957
"354","20060731-1320_10m",2006-07-31,"1320_10m",2.86758
"355","20060810-1279_20m",2006-08-10,"1279_20m",1.79157
"356","20060810-1280_15m",2006-08-10,"1280_15m",2.43504
"357","20060810-1281_10m",2006-08-10,"1281_10m",2.94234
"358","20060810-1281_5m",2006-08-10,"1281_5m",2.5632
"359","20060810-1310_5m",2006-08-10,"1310_5m",0.9612
"360","20060810-1318_20m",2006-08-10,"1318_20m",6.2478
"361","20060810-1319_15m",2006-08-10,"1319_15m",2.67801
"362","20060810-1320_10m",2006-08-10,"1320_10m",2.6433
"363","20060823-1279_20m",2006-08-23,"1279_20m",1.4952
"364","20060823-1280_15m",2006-08-23,"1280_15m",2.47776
"365","20060823-1281_10m",2006-08-23,"1281_10m",4.93416
"366","20060823-1281_5m",2006-08-23,"1281_5m",3.58848
"367","20060823-1310_5m",2006-08-23,"1310_5m",1.34568
"368","20060823-1318_20m",2006-08-23,"1318_20m",1.55928
"369","20060823-1319_15m",2006-08-23,"1319_15m",0
"370","20060823-1320_10m",2006-08-23,"1320_10m",3.88752
"371","20060906-1279_20m",2006-09-06,"1279_20m",5.67108
"372","20060906-1280_15m",2006-09-06,"1280_15m",6.8619
"373","20060906-1281_10m",2006-09-06,"1281_10m",6.8085
"374","20060906-1281_5m",2006-09-06,"1281_5m",7.327073333
"375","20060906-1310_5m",2006-09-06,"1310_5m",7.183424211
"376","20060906-1318_20m",2006-09-06,"1318_20m",3.50304
"377","20060906-1319_15m",2006-09-06,"1319_15m",9.37704
"378","20060906-1320_10m",2006-09-06,"1320_10m",7.73766
"379","20060922-1279_20m",2006-09-22,"1279_20m",6.7284
"380","20060922-1280_15m",2006-09-22,"1280_15m",6.13032
"381","20060922-1281_10m",2006-09-22,"1281_10m",9.525303529
"382","20060922-1281_5m",2006-09-22,"1281_5m",12.85872
"383","20060922-1310_5m",2006-09-22,"1310_5m",8.37312
"384","20060922-1318_20m",2006-09-22,"1318_20m",4.93416
"385","20060922-1319_15m",2006-09-22,"1319_15m",10.01784
"386","20060922-1320_10m",2006-09-22,"1320_10m",11.38488
"387","20070502-1281_5m",2007-05-02,"1281_5m",0.09434
"388","20070508-1279_20m",2007-05-08,"1279_20m",0.56604
"389","20070508-1280_15m",2007-05-08,"1280_15m",1.36704
"390","20070508-1281_10m",2007-05-08,"1281_10m",0
"391","20070508-1281_5m",2007-05-08,"1281_5m",0
"392","20070508-1310_5m",2007-05-08,"1310_5m",0
"393","20070508-1319_15m",2007-05-08,"1319_15m",0.16287
"394","20070508-1318_20m",2007-05-08,"1318_20m",0.81168
"395","20070508-1320_10m",2007-05-08,"1320_10m",0.17355
"396","20070518-1281_5m",2007-05-18,"1281_5m",0
"397","20070523-1279_20m",2007-05-23,"1279_20m",0
"398","20070523-1280_15m",2007-05-23,"1280_15m",1.68744
"399","20070523-1281_10m",2007-05-23,"1281_10m",2.42436
"400","20070523-1281_5m",2007-05-23,"1281_5m",2.40834
"401","20070523-1310_5m",2007-05-23,"1310_5m",0.49929
"402","20070523-1318_20m",2007-05-23,"1318_20m",1.21218
"403","20070523-1319_15m",2007-05-23,"1319_15m",2.27217
"404","20070523-1320_10m",2007-05-23,"1320_10m",3.135597143
"405","20070607-1279_20m",2007-06-07,"1279_20m",1.30296
"406","20070607-1280_15m",2007-06-07,"1280_15m",1.93842
"407","20070607-1281_10m",2007-06-07,"1281_10m",2.08794
"408","20070607-1281_5m",2007-06-07,"1281_5m",6.68034
"409","20070607-1310_5m",2007-06-07,"1310_5m",1.02261
"410","20070607-1318_20m",2007-06-07,"1318_20m",1.335
"411","20070607-1319_15m",2007-06-07,"1319_15m",1.00392
"412","20070607-1320_10m",2007-06-07,"1320_10m",1.8957
"413","20070625-1279_20m",2007-06-25,"1279_20m",0.69153
"414","20070625-1280_15m",2007-06-25,"1280_15m",1.27893
"415","20070625-1281_10m",2007-06-25,"1281_10m",3.59649
"416","20070625-1281_5m",2007-06-25,"1281_5m",3.76737
"417","20070625-1310_5m",2007-06-25,"1310_5m",1.88769
"418","20070625-1318_20m",2007-06-25,"1318_20m",1.32699
"419","20070625-1319_15m",2007-06-25,"1319_15m",1.90371
"420","20070625-1320_10m",2007-06-25,"1320_10m",3.01443
"421","20070706-1279_20m",2007-07-06,"1279_20m",0.99858
"422","20070706-1280_15m",2007-07-06,"1280_15m",1.082685
"423","20070706-1281_10m",2007-07-06,"1281_10m",1.602
"424","20070706-1281_5m",2007-07-06,"1281_5m",1.602
"425","20070706-1310_5m",2007-07-06,"1310_5m",2.5632
"426","20070706-1318_20m",2007-07-06,"1318_20m",0.99858
"427","20070706-1319_15m",2007-07-06,"1319_15m",1.5486
"428","20070706-1320_10m",2007-07-06,"1320_10m",0.91314
"429","20070724-1279_20m",2007-07-24,"1279_20m",2.30688
"430","20070724-1280_15m",2007-07-24,"1280_15m",2.65131
"431","20070724-1281_10m",2007-07-24,"1281_10m",1.08936
"432","20070724-1281_5m",2007-07-24,"1281_5m",1.51656
"433","20070724-1310_5m",2007-07-24,"1310_5m",1.0413
"434","20070724-1318_20m",2007-07-24,"1318_20m",1.34568
"435","20070724-1319_15m",2007-07-24,"1319_15m",2.54184
"436","20070724-1320_10m",2007-07-24,"1320_10m",3.754716522
