"","Sample_ID","biop_152_names","Sample_date","Sample_site","biop_152_codes","Number_counted","Zoop_density","Zoop_biomass","Zoop_len_avg"
"74","20010430-37-890","Harpact",2001-04-30,"37-890","135",1,0.006926884791498,0.00611052280838326,0.3822
"75","20010430-37-890","Ho.Gibber",2001-04-30,"37-890","17",0,0,0,NA
"76","20010430-37-890","Le.Kindti",2001-04-30,"37-890","19",1,0.006926884791498,0.0344368618920967,1.8564
"77","20010430-37-890","Li.Macrur",2001-04-30,"37-890","52",0,0,0,NA
"78","20010430-37-890","Meso.edax",2001-04-30,"37-890","40",8,0.055415078331984,0.141759081109781,0.715866666666667
"79","20010430-37-890","othercala",2001-04-30,"37-890","9993",31,0.214733428536438,0.450360145342787,0.57792
"80","20010430-37-890","othercyclo",2001-04-30,"37-890","9992",29,0.200879658953442,0.208814392852404,0.416476666666667
"81","20010430-37-890","Pa.F.Pop",2001-04-30,"37-890","186",0,0,0,NA
"82","20010430-37-890","rotifer",2001-04-30,"37-890","9995",150,1.0390327187247,0.449298528230935,NA
"83","20010430-37-890","Sc.Kingi",2001-04-30,"37-890","191",0,0,0,NA
"84","20010430-37-890","Simo.Ser",2001-04-30,"37-890","168",0,0,0,NA
"85","20010430-37-890","unkclad.d",2001-04-30,"37-890","990",0,0,0,NA
"86","20010430-37-890","Veligers",2001-04-30,"37-890","234",1876,12.9948358688502,6.04259867901536,NA
"87","20010514-27-918","Acan.vern",2001-05-14,"27-918","34",6,0.157582789269999,0.538152930378058,0.746233333333333
"88","20010514-27-918","Alona.sp",2001-05-14,"27-918","181",0,0,0,NA
"89","20010514-27-918","Bo.Longer",2001-05-14,"27-918","1",11,0.288901780328331,0.366097710220153,0.3303
"90","20010514-27-918","Cal. Naup",2001-05-14,"27-918","83",185,4.8588026691583,0.701937072838529,0.16515
"91","20010514-27-918","Cerio.sp",2001-05-14,"27-918","189",0,0,0,NA
"92","20010514-27-918","Ch.Sphae",2001-05-14,"27-918","13",0,0,0,NA
"93","20010514-27-918","Clad eggs",2001-05-14,"27-918","993",0,0,0,NA
"94","20010514-27-918","Cop eggs",2001-05-14,"27-918","994",41,1.07681572667832,0.124057050852807,NA
"95","20010514-27-918","Cy.Scut",2001-05-14,"27-918","154",0,0,0,NA
"96","20010514-27-918","Cycl.Naup",2001-05-14,"27-918","82",85,2.23242284799165,0.244608248339478,0.137625
"97","20010514-27-918","Da.G.Men",2001-05-14,"27-918","9",0,0,0,NA
"98","20010514-27-918","Da.Long",2001-05-14,"27-918","7",0,0,0,NA
"99","20010514-27-918","Da.Parv",2001-05-14,"27-918","125",0,0,0,NA
"100","20010514-27-918","Da.Pulex",2001-05-14,"27-918","151",0,0,0,NA
"101","20010514-27-918","Da.Retro",2001-05-14,"27-918","5",6,0.157582789269999,0.443294275830243,0.85144
"102","20010514-27-918","Daph.sp",2001-05-14,"27-918","113",0,0,0,NA
"103","20010514-27-918","Di.Ashlan",2001-05-14,"27-918","67",0,0,0,NA
"104","20010514-27-918","Di.Minut",2001-05-14,"27-918","64",28,0.735386349926661,1.65773841844445,0.734
"105","20010514-27-918","Di.Oregon",2001-05-14,"27-918","58",16,0.420220771386663,2.11690158805335,0.89915
"106","20010514-27-918","Di.Reigh",2001-05-14,"27-918","79",0,0,0,NA
"107","20010514-27-918","Di.Sicil",2001-05-14,"27-918","55",8,0.210110385693332,1.62690675127873,1.2478
"108","20010514-27-918","Di.Sicilo",2001-05-14,"27-918","61",0,0,0,NA
"109","20010514-27-918","Dia.Birg",2001-05-14,"27-918","15",0,0,0,NA
"110","20010514-27-918","Dia.Brach",2001-05-14,"27-918","187",0,0,0,NA
"111","20010514-27-918","Dia.Thoma",2001-05-14,"27-918","31",60,1.57582789269999,4.03502440341793,0.6606
"112","20010514-27-918","Ep.Lacus",2001-05-14,"27-918","73",6,0.157582789269999,0.807556366516138,0.8808
"113","20010514-27-918","Eub.Coreg",2001-05-14,"27-918","3",0,0,0,NA
"114","20010514-27-918","Eucyclops",2001-05-14,"27-918","43",0,0,0,NA
"115","20010514-27-918","Eury.Affi",2001-05-14,"27-918","70",0,0,0,NA
"116","20010514-27-918","Harp.Naup",2001-05-14,"27-918","85",0,0,0,NA
"117","20010514-27-918","Harpact",2001-05-14,"27-918","135",0,0,0,NA
"118","20010514-27-918","Ho.Gibber",2001-05-14,"27-918","17",0,0,0,NA
"119","20010514-27-918","Le.Kindti",2001-05-14,"27-918","19",3,0.0787913946349994,0.119660633955421,0.978666666666667
"120","20010514-27-918","Li.Macrur",2001-05-14,"27-918","52",0,0,0,NA
"121","20010514-27-918","Meso.edax",2001-05-14,"27-918","40",0,0,0,NA
"122","20010514-27-918","othercala",2001-05-14,"27-918","9993",101,2.65264361937831,5.49916084052381,0.68784696969697
"123","20010514-27-918","othercyclo",2001-05-14,"27-918","9992",100,2.62637982116665,3.19535186010343,0.42572
"124","20010514-27-918","Pa.F.Pop",2001-05-14,"27-918","186",0,0,0,NA
"125","20010514-27-918","rotifer",2001-05-14,"27-918","9995",4801,126.092495214211,54.3270868216035,NA
"126","20010514-27-918","Sc.Kingi",2001-05-14,"27-918","191",0,0,0,NA
"127","20010514-27-918","Simo.Ser",2001-05-14,"27-918","168",0,0,0,NA
"128","20010514-27-918","unkclad.d",2001-05-14,"27-918","990",0,0,0,NA
"129","20010514-27-918","Veligers",2001-05-14,"27-918","234",717,18.8311433177649,8.75648164276066,NA
"130","20010514-37-890","Acan.vern",2001-05-14,"37-890","34",0,0,0,NA
"131","20010514-37-890","Alona.sp",2001-05-14,"37-890","181",0,0,0,NA
"132","20010514-37-890","Bo.Longer",2001-05-14,"37-890","1",2,0.211281569560073,0.481974724852942,0.38535
"133","20010514-37-890","Cal. Naup",2001-05-14,"37-890","83",135,14.2615059453049,1.74781452733304,0.1468
"134","20010514-37-890","Cerio.sp",2001-05-14,"37-890","189",0,0,0,NA
"135","20010514-37-890","Ch.Sphae",2001-05-14,"37-890","13",0,0,0,NA
"136","20010514-37-890","Clad eggs",2001-05-14,"37-890","993",6,0.633844708680218,0.373144380000044,NA
"137","20010514-37-890","Cop eggs",2001-05-14,"37-890","994",172,18.1702149821663,2.9638578577887,NA
"138","20010514-37-890","Cy.Scut",2001-05-14,"37-890","154",0,0,0,NA
"139","20010514-37-890","Cycl.Naup",2001-05-14,"37-890","82",118,12.4656126040443,1.19012546141716,0.12845
"140","20010514-37-890","Da.G.Men",2001-05-14,"37-890","9",0,0,0,NA
"141","20010514-37-890","Da.Long",2001-05-14,"37-890","7",0,0,0,NA
"142","20010514-37-890","Da.Parv",2001-05-14,"37-890","125",0,0,0,NA
"143","20010514-37-890","Da.Pulex",2001-05-14,"37-890","151",0,0,0,NA
"144","20010514-37-890","Da.Retro",2001-05-14,"37-890","5",31,3.27486432818113,9.6894317833062,1.14770909090909
"145","20010514-37-890","Daph.sp",2001-05-14,"37-890","113",0,0,0,NA
"146","20010514-37-890","Di.Ashlan",2001-05-14,"37-890","67",14,1.47897098692051,6.49275863586868,0.83676
"147","20010514-37-890","Di.Minut",2001-05-14,"37-890","64",26,2.74666040428095,7.01267290058818,0.776816666666667
"148","20010514-37-890","Di.Oregon",2001-05-14,"37-890","58",6,0.633844708680218,3.06555840122568,0.8808
"149","20010514-37-890","Di.Reigh",2001-05-14,"37-890","79",0,0,0,NA
"150","20010514-37-890","Di.Sicil",2001-05-14,"37-890","55",2,0.211281569560073,1.19351191695701,0.9542
"151","20010514-37-890","Di.Sicilo",2001-05-14,"37-890","61",0,0,0,NA
"152","20010514-37-890","Dia.Birg",2001-05-14,"37-890","15",0,0,0,NA
"153","20010514-37-890","Dia.Brach",2001-05-14,"37-890","187",0,0,0,NA
"154","20010514-37-890","Dia.Thoma",2001-05-14,"37-890","31",154,16.2686808561256,54.7563067196288,0.834925
"155","20010514-37-890","Ep.Lacus",2001-05-14,"37-890","73",0,0,0,NA
"156","20010514-37-890","Eub.Coreg",2001-05-14,"37-890","3",0,0,0,NA
"157","20010514-37-890","Eucyclops",2001-05-14,"37-890","43",0,0,0,NA
"158","20010514-37-890","Eury.Affi",2001-05-14,"37-890","70",0,0,0,NA
"159","20010514-37-890","Harp.Naup",2001-05-14,"37-890","85",0,0,0,NA
"160","20010514-37-890","Harpact",2001-05-14,"37-890","135",0,0,0,NA
"161","20010514-37-890","Ho.Gibber",2001-05-14,"37-890","17",0,0,0,NA
"162","20010514-37-890","Le.Kindti",2001-05-14,"37-890","19",0,0,0,NA
"163","20010514-37-890","Li.Macrur",2001-05-14,"37-890","52",0,0,0,NA
"164","20010514-37-890","Meso.edax",2001-05-14,"37-890","40",10,1.05640784780036,5.82180375948492,0.92484
"165","20010514-37-890","othercala",2001-05-14,"37-890","9993",76,8.02869964328276,17.9734409876062,0.712279591836735
"166","20010514-37-890","othercyclo",2001-05-14,"37-890","9992",77,8.1343404280628,7.88055500208632,0.446272
"167","20010514-37-890","Pa.F.Pop",2001-05-14,"37-890","186",0,0,0,NA
"168","20010514-37-890","rotifer",2001-05-14,"37-890","9995",885,93.4920945303322,38.6444554803851,NA
"169","20010514-37-890","Sc.Kingi",2001-05-14,"37-890","191",0,0,0,NA
"170","20010514-37-890","Simo.Ser",2001-05-14,"37-890","168",0,0,0,NA
"171","20010514-37-890","unkclad.d",2001-05-14,"37-890","990",0,0,0,NA
"172","20010514-37-890","Veligers",2001-05-14,"37-890","234",1515,160.045788941755,74.4212918579161,NA
"173","20010523-1279_20m","Acan.vern",2001-05-23,"1279_20m","34",0,0,0,NA
"174","20010523-1279_20m","Alona.sp",2001-05-23,"1279_20m","181",0,0,0,NA
"175","20010523-1279_20m","Bo.Longer",2001-05-23,"1279_20m","1",27,9.63295996456212,19.9098344088807,0.393423333333333
"176","20010523-1279_20m","Cal. Naup",2001-05-23,"1279_20m","83",171,61.0087464422268,11.3256891718733,0.186044444444444
"177","20010523-1279_20m","Cerio.sp",2001-05-23,"1279_20m","189",0,0,0,NA
"178","20010523-1279_20m","Ch.Sphae",2001-05-23,"1279_20m","13",0,0,0,NA
"179","20010523-1279_20m","Clad eggs",2001-05-23,"1279_20m","993",28,9.98973625954591,5.30358665782242,NA
"180","20010523-1279_20m","Cop eggs",2001-05-23,"1279_20m","994",20,7.13552589967565,0.819871925872732,NA
"181","20010523-1279_20m","Cy.Scut",2001-05-23,"1279_20m","154",0,0,0,NA
"182","20010523-1279_20m","Cycl.Naup",2001-05-23,"1279_20m","82",219,78.1340086014483,10.8091357474818,0.1638
"183","20010523-1279_20m","Da.G.Men",2001-05-23,"1279_20m","9",1,0.356776294983782,2.09568232587961,0.8554
"184","20010523-1279_20m","Da.Long",2001-05-23,"1279_20m","7",0,0,0,NA
"185","20010523-1279_20m","Da.Parv",2001-05-23,"1279_20m","125",0,0,0,NA
"186","20010523-1279_20m","Da.Pulex",2001-05-23,"1279_20m","151",0,0,0,NA
"187","20010523-1279_20m","Da.Retro",2001-05-23,"1279_20m","5",0,0,0,NA
"188","20010523-1279_20m","Daph.sp",2001-05-23,"1279_20m","113",0,0,0,NA
"189","20010523-1279_20m","Di.Ashlan",2001-05-23,"1279_20m","67",0,0,0,NA
"190","20010523-1279_20m","Di.Minut",2001-05-23,"1279_20m","64",4,1.42710517993513,2.9448002782548,0.7189
"191","20010523-1279_20m","Di.Oregon",2001-05-23,"1279_20m","58",0,0,0,NA
"192","20010523-1279_20m","Di.Reigh",2001-05-23,"1279_20m","79",0,0,0,NA
"193","20010523-1279_20m","Di.Sicil",2001-05-23,"1279_20m","55",0,0,0,NA
"194","20010523-1279_20m","Di.Sicilo",2001-05-23,"1279_20m","61",0,0,0,NA
"195","20010523-1279_20m","Dia.Birg",2001-05-23,"1279_20m","15",0,0,0,NA
"196","20010523-1279_20m","Dia.Brach",2001-05-23,"1279_20m","187",0,0,0,NA
"197","20010523-1279_20m","Dia.Thoma",2001-05-23,"1279_20m","31",68,24.2607880588972,65.8679120326022,0.67704
"198","20010523-1279_20m","Ep.Lacus",2001-05-23,"1279_20m","73",0,0,0,NA
"199","20010523-1279_20m","Eub.Coreg",2001-05-23,"1279_20m","3",2,0.713552589967565,1.86427114491505,0.3913
"200","20010523-1279_20m","Eucyclops",2001-05-23,"1279_20m","43",0,0,0,NA
"201","20010523-1279_20m","Eury.Affi",2001-05-23,"1279_20m","70",0,0,0,NA
"202","20010523-1279_20m","Harp.Naup",2001-05-23,"1279_20m","85",0,0,0,NA
"203","20010523-1279_20m","Harpact",2001-05-23,"1279_20m","135",0,0,0,NA
"204","20010523-1279_20m","Ho.Gibber",2001-05-23,"1279_20m","17",0,0,0,NA
"205","20010523-1279_20m","Le.Kindti",2001-05-23,"1279_20m","19",0,0,0,NA
"206","20010523-1279_20m","Li.Macrur",2001-05-23,"1279_20m","52",0,0,0,NA
"207","20010523-1279_20m","Meso.edax",2001-05-23,"1279_20m","40",2,0.713552589967565,2.84078319116494,0.8372
"208","20010523-1279_20m","othercala",2001-05-23,"1279_20m","9993",18,6.42197330970808,13.5311969956726,0.546
"209","20010523-1279_20m","othercyclo",2001-05-23,"1279_20m","9992",202,72.068811586724,76.9192465380577,0.399533333333333
"210","20010523-1279_20m","Pa.F.Pop",2001-05-23,"1279_20m","186",0,0,0,NA
"211","20010523-1279_20m","rotifer",2001-05-23,"1279_20m","9995",698,249.02985389868,101.214223900244,NA
"212","20010523-1279_20m","Sc.Kingi",2001-05-23,"1279_20m","191",0,0,0,NA
"213","20010523-1279_20m","Simo.Ser",2001-05-23,"1279_20m","168",0,0,0,NA
"214","20010523-1279_20m","unkclad.d",2001-05-23,"1279_20m","990",0,0,0,NA
"215","20010523-1279_20m","Veligers",2001-05-23,"1279_20m","234",16,5.70842071974052,2.65441563467934,NA
"216","20010523-1281_10m","Acan.vern",2001-05-23,"1281_10m","34",0,0,0,NA
"217","20010523-1281_10m","Alona.sp",2001-05-23,"1281_10m","181",0,0,0,NA
"218","20010523-1281_10m","Bo.Longer",2001-05-23,"1281_10m","1",98,15.5465270539183,29.566155994713,0.370445833333333
"219","20010523-1281_10m","Cal. Naup",2001-05-23,"1281_10m","83",16,2.53820849859891,0.505486364025006,0.1924
"220","20010523-1281_10m","Cerio.sp",2001-05-23,"1281_10m","189",0,0,0,NA
"221","20010523-1281_10m","Ch.Sphae",2001-05-23,"1281_10m","13",0,0,0,NA
"222","20010523-1281_10m","Clad eggs",2001-05-23,"1281_10m","993",128,20.3056679887913,10.3558906742835,NA
"223","20010523-1281_10m","Cop eggs",2001-05-23,"1281_10m","994",71,11.2633002125327,1.29415319442,NA
"224","20010523-1281_10m","Cy.Scut",2001-05-23,"1281_10m","154",0,0,0,NA
"225","20010523-1281_10m","Cycl.Naup",2001-05-23,"1281_10m","82",69,10.9460241502078,1.48626841018006,0.1612
"226","20010523-1281_10m","Da.G.Men",2001-05-23,"1281_10m","9",0,0,0,NA
"227","20010523-1281_10m","Da.Long",2001-05-23,"1281_10m","7",0,0,0,NA
"228","20010523-1281_10m","Da.Parv",2001-05-23,"1281_10m","125",0,0,0,NA
"229","20010523-1281_10m","Da.Pulex",2001-05-23,"1281_10m","151",0,0,0,NA
"230","20010523-1281_10m","Da.Retro",2001-05-23,"1281_10m","5",1,0.158638031162432,0.118558061237737,0.546
"231","20010523-1281_10m","Daph.sp",2001-05-23,"1281_10m","113",0,0,0,NA
"232","20010523-1281_10m","Di.Ashlan",2001-05-23,"1281_10m","67",4,0.634552124649727,3.20285322489593,0.9009
"233","20010523-1281_10m","Di.Minut",2001-05-23,"1281_10m","64",0,0,0,NA
"234","20010523-1281_10m","Di.Oregon",2001-05-23,"1281_10m","58",4,0.634552124649727,3.892256488351,0.9919
"235","20010523-1281_10m","Di.Reigh",2001-05-23,"1281_10m","79",0,0,0,NA
"236","20010523-1281_10m","Di.Sicil",2001-05-23,"1281_10m","55",0,0,0,NA
"237","20010523-1281_10m","Di.Sicilo",2001-05-23,"1281_10m","61",0,0,0,NA
"238","20010523-1281_10m","Dia.Birg",2001-05-23,"1281_10m","15",0,0,0,NA
"239","20010523-1281_10m","Dia.Brach",2001-05-23,"1281_10m","187",0,0,0,NA
"240","20010523-1281_10m","Dia.Thoma",2001-05-23,"1281_10m","31",90,14.2774228046189,29.6819420989389,0.594533333333333
"241","20010523-1281_10m","Ep.Lacus",2001-05-23,"1281_10m","73",16,2.53820849859891,17.3109896229378,1.012375
"242","20010523-1281_10m","Eub.Coreg",2001-05-23,"1281_10m","3",0,0,0,NA
"243","20010523-1281_10m","Eucyclops",2001-05-23,"1281_10m","43",0,0,0,NA
"244","20010523-1281_10m","Eury.Affi",2001-05-23,"1281_10m","70",2,0.317276062324864,0.950542997387106,0.6916
"245","20010523-1281_10m","Harp.Naup",2001-05-23,"1281_10m","85",0,0,0,NA
"246","20010523-1281_10m","Harpact",2001-05-23,"1281_10m","135",0,0,0,NA
"247","20010523-1281_10m","Ho.Gibber",2001-05-23,"1281_10m","17",0,0,0,NA
"248","20010523-1281_10m","Le.Kindti",2001-05-23,"1281_10m","19",0,0,0,NA
"249","20010523-1281_10m","Li.Macrur",2001-05-23,"1281_10m","52",0,0,0,NA
"250","20010523-1281_10m","Meso.edax",2001-05-23,"1281_10m","40",0,0,0,NA
"251","20010523-1281_10m","othercala",2001-05-23,"1281_10m","9993",11,1.74501834278675,4.43655830611567,0.5746
"252","20010523-1281_10m","othercyclo",2001-05-23,"1281_10m","9992",240,38.0731274789836,44.6401872879626,0.406466666666667
"253","20010523-1281_10m","Pa.F.Pop",2001-05-23,"1281_10m","186",0,0,0,NA
"254","20010523-1281_10m","rotifer",2001-05-23,"1281_10m","9995",52,8.24917762044645,1.78293283223457,NA
"255","20010523-1281_10m","Sc.Kingi",2001-05-23,"1281_10m","191",0,0,0,NA
"256","20010523-1281_10m","Simo.Ser",2001-05-23,"1281_10m","168",0,0,0,NA
"257","20010523-1281_10m","unkclad.d",2001-05-23,"1281_10m","990",0,0,0,NA
"258","20010523-1281_10m","Veligers",2001-05-23,"1281_10m","234",6,0.951828186974591,0.442600106943185,NA
"259","20010531-27-918","Acan.vern",2001-05-31,"27-918","34",2,0.0642802378390227,0.632264431375637,1.1377
"260","20010531-27-918","Alona.sp",2001-05-31,"27-918","181",0,0,0,NA
"261","20010531-27-918","Bo.Longer",2001-05-31,"27-918","1",14,0.449961664873159,0.61924414350892,0.308017857142857
"262","20010531-27-918","Cal. Naup",2001-05-31,"27-918","83",76,2.44264903788286,0.276320321723135,0.13579
"263","20010531-27-918","Cerio.sp",2001-05-31,"27-918","189",0,0,0,NA
"264","20010531-27-918","Ch.Sphae",2001-05-31,"27-918","13",0,0,0,NA
"265","20010531-27-918","Clad eggs",2001-05-31,"27-918","993",99,3.18187177303162,1.96155645382426,NA
"266","20010531-27-918","Cop eggs",2001-05-31,"27-918","994",69,2.21766820544628,0.285857431682026,NA
"267","20010531-27-918","Cy.Scut",2001-05-31,"27-918","154",0,0,0,NA
"268","20010531-27-918","Cycl.Naup",2001-05-31,"27-918","82",76,2.44264903788286,0.16597169696321,0.1055125
"269","20010531-27-918","Da.G.Men",2001-05-31,"27-918","9",0,0,0,NA
"270","20010531-27-918","Da.Long",2001-05-31,"27-918","7",0,0,0,NA
"271","20010531-27-918","Da.Parv",2001-05-31,"27-918","125",0,0,0,NA
"272","20010531-27-918","Da.Pulex",2001-05-31,"27-918","151",0,0,0,NA
"273","20010531-27-918","Da.Retro",2001-05-31,"27-918","5",100,3.21401189195113,11.8553427188607,0.945602447552448
"274","20010531-27-918","Daph.sp",2001-05-31,"27-918","113",0,0,0,NA
"275","20010531-27-918","Di.Ashlan",2001-05-31,"27-918","67",4,0.128560475678045,0.673494587082632,0.9175
"276","20010531-27-918","Di.Minut",2001-05-31,"27-918","64",6,0.192840713517068,0.392099922739533,0.71565
"277","20010531-27-918","Di.Oregon",2001-05-31,"27-918","58",6,0.192840713517068,1.38714785970559,1.0643
"278","20010531-27-918","Di.Reigh",2001-05-31,"27-918","79",0,0,0,NA
"279","20010531-27-918","Di.Sicil",2001-05-31,"27-918","55",8,0.257120951356091,1.79977803102459,1.22945
"280","20010531-27-918","Di.Sicilo",2001-05-31,"27-918","61",0,0,0,NA
"281","20010531-27-918","Dia.Birg",2001-05-31,"27-918","15",0,0,0,NA
"282","20010531-27-918","Dia.Brach",2001-05-31,"27-918","187",0,0,0,NA
"283","20010531-27-918","Dia.Thoma",2001-05-31,"27-918","31",18,0.578522140551204,1.62806347376368,0.758466666666667
"284","20010531-27-918","Ep.Lacus",2001-05-31,"27-918","73",0,0,0,NA
"285","20010531-27-918","Eub.Coreg",2001-05-31,"27-918","3",0,0,0,NA
"286","20010531-27-918","Eucyclops",2001-05-31,"27-918","43",0,0,0,NA
