"","Sample_site","Latitude","Longitude","n","FirstDate","LastDate"
"93","1403_5m",41.916944,-80.766667,9,1996-06-19,2013-09-30
"94","1453_20m",42.086667,-80.516944,2,1996-06-19,1996-08-29
"95","1454_15m",42.075833,-80.516944,2,1996-06-19,1996-08-29
"96","1455_10m",42.021667,-80.516944,1,1996-08-29,1996-08-29
"97","1456_5m",41.981944,-80.516944,2,1996-06-19,1996-08-29
"98","16-970",41.640278,-82.765833,202,1995-06-01,2015-09-24
"99","19-958",41.671389,-82.856111,7,1998-06-10,1998-09-24
"100","24-943",41.666667,-82.923889,8,1998-05-27,1998-09-24
"101","26-931",41.766944,-82.970556,7,1998-05-26,1998-08-20
"102","27-918",41.775556,-83.054722,207,1995-05-22,2015-10-05
"103","29-905",41.866389,-83.135278,196,1995-05-22,2015-10-05
"104","3-996",41.4475,-82.617778,191,1995-05-17,2015-10-05
"105","30-8",41.891944,-83.095556,6,1998-05-26,1998-08-20
"106","34-879",41.817778,-83.2675,8,1998-05-26,1998-09-28
"107","36-873",41.768333,-83.300833,190,1995-05-23,2015-10-05
"108","37-890",41.7025,-83.248056,197,1995-05-23,2015-10-05
"109","4-996",41.456389,-82.596667,24,1995-06-01,1997-09-22
"110","40-867",41.741111,-83.342222,6,1998-05-26,1998-08-13
"111","42-916",41.663056,-83.168611,6,1998-05-28,1998-08-20
"112","46-970",NA,NA,1,2003-08-25,2003-08-25
"113","7-984",41.489444,-82.675556,6,1998-06-10,1998-09-21
"114","8-994",41.517778,-82.600556,205,1995-05-17,2015-10-05
