Information,Value,Sample_ID,Genus_sp_lifestage,Number_counted,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,
,,20200812-36-873,Brachionus,105,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Dreissena_veligers,297,8,6,8,7,9,6,7,5,6,6,7.5,6,10,6,6,10,10,7,5,8,
,,20200812-36-873,Kellicottia,1,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Keratella,36,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Ploesoma_sp,1,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Polyarthra,444,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Unidentified_Rotifers,660,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Canthocamptus_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Canthocamptus_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Canthocamptus_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Canthocamptus_nauplii,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Harpacticoid_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,A_harpae_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,A_harpae_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,A_harpae_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Alona_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Alona_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Alona_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Alonella_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Alonella_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Alonella_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,B_deitersi_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,B_deitersi_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,B_deitersi_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,B_longimanus_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,B_longimanus_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,B_longimanus_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,C_pengoi_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,C_pengoi_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,C_pengoi_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Camptocercus_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Camptocercus_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Camptocercus_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Ceriodaphnia_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Ceriodaphnia_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Ceriodaphnia_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Chydorids_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Chydorids_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Chydorids_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,D_ambigua_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,D_ambigua_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,D_ambigua_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,D_laevis_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,D_laevis_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,D_laevis_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,D_longiremis_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,D_longiremis_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,D_longiremis_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,D_lumholtzi_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,D_lumholtzi_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,D_lumholtzi_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,D_rosea_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,D_rosea_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,D_rosea_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,D_schodleri_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,D_schodleri_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,D_schodleri_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,E_lamellatus_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,E_lamellatus_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,E_lamellatus_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,H_gibberum_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,H_gibberum_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,H_gibberum_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Ilyocryptus_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Ilyocryptus_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Ilyocryptus_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,K_latissima_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,K_latissima_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,K_latissima_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Leydigia_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Leydigia_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Leydigia_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Macrothrix_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Macrothrix_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Macrothrix_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Moina_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Moina_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Moina_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Pleuroxus_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Pleuroxus_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Pleuroxus_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Rare_Cladoceran_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,S_crystallina_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,S_crystallina_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,S_crystallina_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Scapholeberis_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Scapholeberis_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Scapholeberis_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Simocephalus_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Simocephalus_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Simocephalus_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Unidentified_Cladoceran,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Unidentified_Daphnia,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Argulus_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Argulus_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Argulus_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,C_scutifer_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,C_scutifer_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,C_scutifer_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,C_strenuus_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,C_strenuus_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,C_strenuus_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,D_nanus_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,D_nanus_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,D_nanus_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,E_agilis_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,E_agilis_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,E_agilis_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,E_elegans_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,E_elegans_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,E_elegans_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,E_phaleratus_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,E_phaleratus_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,E_phaleratus_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,E_prionophorus_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,E_prionophorus_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,E_prionophorus_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,E_speratus_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,E_speratus_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,E_speratus_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Ergasilus_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Ergasilus_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Ergasilus_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Eucyclops_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Eucyclops_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Eucyclops_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,L_macrurus_adult,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,L_macrurus_immature,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,M_albidus_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,M_albidus_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,M_albidus_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,M_rubellus_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,M_rubellus_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,M_rubellus_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,O_birgei_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,O_birgei_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,O_birgei_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Calanoida_unclass,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Cyclopoida_unclass,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,P_chiltoni_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,P_chiltoni_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,P_chiltoni_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,P_poppei_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,P_poppei_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,P_poppei_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Rare_Copepod_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,S_calanoides,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,S_pygmaeus_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,S_pygmaeus_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,S_pygmaeus_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Calanoida_immature,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,T_crassus_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,T_crassus_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,T_crassus_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Collotheca,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Conochilus,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Filinia,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Testudinella,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Notholca,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,K_quadrata,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Platyias,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Euchlanis,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Ascomorpha,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Lecane,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Monostyla,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,L_patella,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,P_hudsoni,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Synchaeta,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Trichocerca,,,,,,,,,,,,,,,,,,,,,,
